strategy,approach,method,net_sharpe,ann_ret_pct,maxdd_pct,comm_level
S2_Bollinger,B,InvVol,1.1196,0.71,-0.66,net_0.05
S2_Bollinger,B,MaxSharpe,0.9937,1.29,-1.75,net_0.05
S2_Bollinger,B,MinVar,2.0455,1.61,-0.9,net_0.05
S2_Bollinger,C,EW,1.6968,2.35,-1.75,net_0.05
S2_Bollinger,C,InvVol,1.0777,2.02,-1.16,net_0.05
S2_Bollinger,C,MaxSharpe,1.024,2.37,-2.31,net_0.05
S2_Bollinger,C,MinVar,1.7583,2.85,-1.32,net_0.05
S2_Bollinger,D,EW,2.5351,3.09,-0.99,net_0.05
S2_Bollinger,D,InvVol,1.5794,2.22,-0.77,net_0.05
S2_Bollinger,D,MaxSharpe,1.7539,3.77,-1.78,net_0.05
S2_Bollinger,D,MinVar,2.2973,2.96,-0.66,net_0.05
S3_Donchian,A,EW,0.7214,15.66,-24.22,net_0.05
S3_Donchian,A,InvVol,0.6828,14.04,-21.5,net_0.05
S3_Donchian,A,MaxSharpe,0.8108,17.06,-20.58,net_0.05
S3_Donchian,A,MinVar,0.7853,14.08,-17.09,net_0.05
S3_Donchian,B,EW,2.7061,8.88,-2.54,net_0.05
S3_Donchian,B,InvVol,2.6269,6.46,-1.77,net_0.05
S3_Donchian,B,MaxSharpe,2.3684,9.83,-2.78,net_0.05
S3_Donchian,B,MinVar,2.8847,8.74,-2.38,net_0.05
S3_Donchian,C,EW,0.8798,17.94,-22.43,net_0.05
S3_Donchian,C,InvVol,0.9033,15.38,-18.26,net_0.05
S3_Donchian,C,MaxSharpe,1.0485,18.83,-18.67,net_0.05
S3_Donchian,C,MinVar,1.0783,16.73,-15.36,net_0.05
S3_Donchian,D,EW,1.5375,18.64,-9.52,net_0.05
S3_Donchian,D,InvVol,1.4875,10.25,-6.54,net_0.05
S3_Donchian,D,MaxSharpe,1.4241,19.87,-13.71,net_0.05
S3_Donchian,D,MinVar,1.8069,15.08,-8.85,net_0.05
S4_Supertrend,A,EW,1.2371,14.0,-11.12,net_0.05
S4_Supertrend,A,InvVol,0.7799,12.05,-18.68,net_0.05
S4_Supertrend,A,MaxSharpe,1.2247,18.24,-16.37,net_0.05
S4_Supertrend,A,MinVar,1.092,14.2,-15.15,net_0.05
S4_Supertrend,B,EW,2.0899,3.6,-1.21,net_0.05
S4_Supertrend,B,InvVol,1.4323,1.45,-1.07,net_0.05
S4_Supertrend,B,MaxSharpe,1.2872,2.82,-2.31,net_0.05
S4_Supertrend,B,MinVar,2.2956,3.39,-0.91,net_0.05
S4_Supertrend,C,EW,1.45,15.83,-11.12,net_0.05
S4_Supertrend,C,InvVol,0.9457,13.8,-17.97,net_0.05
S4_Supertrend,C,MaxSharpe,1.3552,19.44,-16.08,net_0.05
S4_Supertrend,C,MinVar,1.317,15.49,-14.01,net_0.05
S4_Supertrend,D,EW,1.9962,14.99,-3.6,net_0.05
S4_Supertrend,D,InvVol,1.0789,6.84,-2.83,net_0.05
S4_Supertrend,D,MaxSharpe,1.7233,16.11,-5.74,net_0.05
S4_Supertrend,D,MinVar,2.0001,12.58,-2.76,net_0.05
S5_PivotPoints,A,EW,1.4949,1.8,-0.68,net_0.05
S5_PivotPoints,A,InvVol,0.7007,0.67,-0.83,net_0.05
S5_PivotPoints,A,MaxSharpe,0.8566,1.25,-1.25,net_0.05
S5_PivotPoints,A,MinVar,1.2794,1.0,-0.78,net_0.05
S5_PivotPoints,B,EW,2.1512,1.69,-0.5,net_0.05
S5_PivotPoints,B,InvVol,1.2805,1.0,-0.66,net_0.05
S5_PivotPoints,B,MaxSharpe,1.6123,1.46,-0.75,net_0.05
S5_PivotPoints,B,MinVar,2.0307,1.39,-0.34,net_0.05
S5_PivotPoints,C,EW,1.9761,1.84,-0.72,net_0.05
S5_PivotPoints,C,InvVol,1.2158,1.06,-0.7,net_0.05
S5_PivotPoints,C,MaxSharpe,1.0771,1.26,-1.04,net_0.05
S5_PivotPoints,C,MinVar,1.6249,1.2,-0.69,net_0.05
S5_PivotPoints,D,EW,2.3643,2.04,-0.46,net_0.05
S5_PivotPoints,D,InvVol,0.9517,0.58,-0.76,net_0.05
S5_PivotPoints,D,MaxSharpe,1.8444,2.19,-0.87,net_0.05
S5_PivotPoints,D,MinVar,2.1106,1.22,-0.44,net_0.05
S6_VWAP,A,EW,0.3381,0.26,-1.01,net_0.05
S6_VWAP,A,InvVol,0.1977,0.16,-1.43,net_0.05
S6_VWAP,A,MaxSharpe,0.3625,0.39,-0.86,net_0.05
S6_VWAP,A,MinVar,0.3454,0.23,-0.74,net_0.05
S6_VWAP,B,EW,-0.0912,-0.06,-1.28,net_0.05
S6_VWAP,B,InvVol,0.1097,0.05,-0.63,net_0.05
S6_VWAP,B,MaxSharpe,-0.5374,-0.52,-2.73,net_0.05
S6_VWAP,B,MinVar,0.0899,0.05,-1.28,net_0.05
S6_VWAP,C,EW,0.9663,0.68,-0.67,net_0.05
S6_VWAP,C,InvVol,0.4816,0.4,-1.29,net_0.05
S6_VWAP,C,MaxSharpe,0.4714,0.43,-1.11,net_0.05
S6_VWAP,C,MinVar,0.7567,0.46,-0.86,net_0.05
S6_VWAP,D,EW,1.1389,0.5,-0.12,net_0.05
S6_VWAP,D,InvVol,0.686,0.35,-0.14,net_0.05
S6_VWAP,D,MaxSharpe,1.4222,0.52,-0.37,net_0.05
S6_VWAP,D,MinVar,1.0901,0.48,-0.12,net_0.05
