date,S1_A,S1_C,S2_A,S2_C,S3_A,S3_B,S4_A,S4_D,S5_A,S5_C,S6_A,S6_D
2025-07-04,1.1753234472601293,1.195933095642822,1.2005659087033238,1.2223477171169663,1.968284357555783,1.5668258343405994,1.821623770272511,1.9498954572670184,1.0624269088629796,1.0517677756362376,1.170226778685124,1.1780470958607745
2025-07-05,1.175391320806475,1.195931810366489,1.2003536359387907,1.222434539037257,1.9680538957716138,1.5667145445449107,1.8338790377899095,1.9630136932330502,1.0622089544824544,1.0517677756362376,1.1699071429427939,1.1777253240770111
2025-07-06,1.1790374704180424,1.199641678074919,1.2044170540027306,1.226500797109608,1.9675748749264195,1.5644174212285213,1.842081636761441,1.9717938874385637,1.0625096777092156,1.0517677756362376,1.1699911766846909,1.17780991939426
2025-07-07,1.1789681152727236,1.1995711109173852,1.2038851749299155,1.2259591656999518,1.9738609768859903,1.5664649261481975,1.8429950340246066,1.9727716025975288,1.0621152203663604,1.0517677756362376,1.1679908840637192,1.1757962593448334
2025-07-08,1.1789681152727236,1.1995711109173852,1.2025491081199526,1.2255884024752313,1.9824221332742618,1.5663966089269685,1.8478071580212136,1.97792257771869,1.0621984402177445,1.0517677756362376,1.1680136942386314,1.1758192219541335
2025-07-09,1.1789681152727236,1.1995711109173852,1.2032111778978645,1.2262992033763431,1.983830694343572,1.567367503930031,1.8458334858482057,1.9758099271993643,1.0631882092207916,1.0526963752184775,1.168070830720286,1.175876740263838
2025-07-10,1.1789681152727236,1.1995711109173852,1.2033767383404008,1.2264679407040229,2.0268733927993776,1.5951192871391513,1.8863370150257555,2.0168444519910427,1.0595651627472753,1.0526654135603828,1.1658418245154392,1.1736328381979273
2025-07-11,1.1789681152727236,1.1995711109173852,1.2033059514734397,1.2263957955310403,2.024129563019571,1.5944904273113896,1.8852611016536651,2.0160091521336687,1.0601517392679194,1.0526654135603828,1.1665215253864967,1.1743170813307864
2025-07-12,1.1789681152727236,1.1995711109173852,1.2033059514734397,1.2263957955310403,2.0253024996654267,1.5955586477317472,1.8869445344646156,2.0180327723132954,1.0601185384335388,1.0526654135603828,1.1664047469751575,1.1741995225200985
2025-07-13,1.1789681152727236,1.1995711109173852,1.2033059514734397,1.2263957955310403,2.007088817280178,1.583734602693994,1.871452178172583,2.0032452964827545,1.0640791375515317,1.0526654135603828,1.1676669060045346,1.175470116225656
2025-07-14,1.1789681152727236,1.1995711109173852,1.2033059514734397,1.2263957955310403,1.9980627842049663,1.579336377927726,1.864371325290748,1.9945957122227111,1.0638479169105153,1.0526654135603828,1.1676325628602404,1.1754355435751789
2025-07-15,1.1789681152727236,1.1995711109173852,1.2033059514734397,1.2263957955310403,1.9992477553197667,1.5785979582752045,1.8627267633447089,1.9935612961136868,1.0652175378730828,1.0539896771772959,1.1676325628602404,1.1754355435751789
2025-07-16,1.1789681152727236,1.1995711109173852,1.2033059514734397,1.2263957955310403,2.0024089846869275,1.579410411572042,1.8656151348569918,1.9953573517741452,1.0651862079454983,1.0539586774809084,1.1676325628602404,1.1754355435751789
2025-07-17,1.1789681152727236,1.1995711109173852,1.2033059514734397,1.2263957955310403,1.9881045935322326,1.579389479738764,1.8477515253506465,1.9788502287250254,1.0651862079454983,1.0539586774809084,1.1676325628602404,1.1754355435751789
