strategy,approach,ticker,test_year,horizon
S4_Supertrend,C,IRAO,2025,h1
S4_Supertrend,D,IRAO,2022,h1
S4_Supertrend,D,IRAO,2023,h5
S4_Supertrend,D,IRAO,2024,h5
S4_Supertrend,D,IRAO,2025,h5
S5_PivotPoints,B,IRAO,2022,h1
S5_PivotPoints,B,IRAO,2023,h1
S5_PivotPoints,B,IRAO,2024,h1
S5_PivotPoints,B,IRAO,2025,h1
S5_PivotPoints,C,IRAO,2022,?
S5_PivotPoints,C,IRAO,2023,?
S5_PivotPoints,C,IRAO,2024,?
S5_PivotPoints,C,IRAO,2025,?
S5_PivotPoints,D,IRAO,2022,h1
S5_PivotPoints,D,IRAO,2023,h1
S5_PivotPoints,D,IRAO,2024,h1
S5_PivotPoints,D,IRAO,2025,h1
S6_VWAP,B,IRAO,2022,h22
S6_VWAP,B,IRAO,2023,h22
S6_VWAP,B,IRAO,2024,h5
S6_VWAP,B,IRAO,2025,h5
S6_VWAP,C,IRAO,2022,h5
S6_VWAP,C,IRAO,2023,h22
S6_VWAP,C,IRAO,2024,h22
S6_VWAP,C,IRAO,2025,h5
S6_VWAP,D,IRAO,2022,h1
S6_VWAP,D,IRAO,2023,h1
S6_VWAP,D,IRAO,2024,h1
S6_VWAP,D,IRAO,2025,h1
S1_MeanRev,B,HYDR,2022,h1
S1_MeanRev,B,HYDR,2023,h1
S1_MeanRev,B,HYDR,2024,h22
S1_MeanRev,B,HYDR,2025,h22
S1_MeanRev,C,HYDR,2022,?
S1_MeanRev,C,HYDR,2023,?
S1_MeanRev,C,HYDR,2024,h22
S1_MeanRev,C,HYDR,2025,h22
S1_MeanRev,D,HYDR,2022,h1
S1_MeanRev,D,HYDR,2023,h1
S1_MeanRev,D,HYDR,2024,h5
S1_MeanRev,D,HYDR,2025,h5
S2_Bollinger,B,HYDR,2022,h1
S2_Bollinger,B,HYDR,2023,h1
S2_Bollinger,B,HYDR,2024,h1
S2_Bollinger,B,HYDR,2025,h1
S2_Bollinger,C,HYDR,2022,?
S2_Bollinger,C,HYDR,2023,h5
S2_Bollinger,C,HYDR,2024,h1
S2_Bollinger,C,HYDR,2025,h5
S2_Bollinger,D,HYDR,2022,h1
S2_Bollinger,D,HYDR,2023,h1
S2_Bollinger,D,HYDR,2024,h1
S2_Bollinger,D,HYDR,2025,h1
S3_Donchian,B,HYDR,2022,h1
S3_Donchian,B,HYDR,2023,h1
S3_Donchian,B,HYDR,2024,h1
S3_Donchian,B,HYDR,2025,h1
S3_Donchian,C,HYDR,2022,h1
S3_Donchian,C,HYDR,2023,h1
S3_Donchian,C,HYDR,2024,h1
S3_Donchian,C,HYDR,2025,h1
S3_Donchian,D,HYDR,2022,h5
S3_Donchian,D,HYDR,2023,h22
S3_Donchian,D,HYDR,2024,h22
S3_Donchian,D,HYDR,2025,h22
S4_Supertrend,B,HYDR,2022,h1
S4_Supertrend,B,HYDR,2023,h1
S4_Supertrend,B,HYDR,2024,h1
S4_Supertrend,B,HYDR,2025,h1
S4_Supertrend,C,HYDR,2022,h1
S4_Supertrend,C,HYDR,2023,h1
S4_Supertrend,C,HYDR,2024,h1
S4_Supertrend,C,HYDR,2025,h1
S4_Supertrend,D,HYDR,2022,h1
S4_Supertrend,D,HYDR,2023,h1
S4_Supertrend,D,HYDR,2024,h1
S4_Supertrend,D,HYDR,2025,h1
S5_PivotPoints,B,HYDR,2022,h1
S5_PivotPoints,B,HYDR,2023,h1
S5_PivotPoints,B,HYDR,2024,h1
S5_PivotPoints,B,HYDR,2025,h1
S5_PivotPoints,C,HYDR,2022,?
S5_PivotPoints,C,HYDR,2023,?
S5_PivotPoints,C,HYDR,2024,?
S5_PivotPoints,C,HYDR,2025,?
S5_PivotPoints,D,HYDR,2022,h1
S5_PivotPoints,D,HYDR,2023,h1
S5_PivotPoints,D,HYDR,2024,h1
S5_PivotPoints,D,HYDR,2025,h1
S6_VWAP,B,HYDR,2022,h22
S6_VWAP,B,HYDR,2023,h22
S6_VWAP,B,HYDR,2024,h22
S6_VWAP,B,HYDR,2025,h1
S6_VWAP,C,HYDR,2022,h22
S6_VWAP,C,HYDR,2023,h5
S6_VWAP,C,HYDR,2024,h1
S6_VWAP,C,HYDR,2025,h1
S6_VWAP,D,HYDR,2022,h1
S6_VWAP,D,HYDR,2023,h5
S6_VWAP,D,HYDR,2024,h5
S6_VWAP,D,HYDR,2025,h5
S1_MeanRev,B,ALRS,2022,h1
S1_MeanRev,B,ALRS,2023,h1
S1_MeanRev,B,ALRS,2024,h1
S1_MeanRev,B,ALRS,2025,h1
S1_MeanRev,C,ALRS,2022,h5
S1_MeanRev,C,ALRS,2023,h1
S1_MeanRev,C,ALRS,2024,h22
S1_MeanRev,C,ALRS,2025,?
S1_MeanRev,D,ALRS,2022,h1
S1_MeanRev,D,ALRS,2023,h5
S1_MeanRev,D,ALRS,2024,h5
S1_MeanRev,D,ALRS,2025,h1
S2_Bollinger,B,ALRS,2022,h1
S2_Bollinger,B,ALRS,2023,h1
S2_Bollinger,B,ALRS,2024,h1
S2_Bollinger,B,ALRS,2025,h1
S2_Bollinger,C,ALRS,2022,h5
S2_Bollinger,C,ALRS,2023,h5
S2_Bollinger,C,ALRS,2024,?
S2_Bollinger,C,ALRS,2025,?
S2_Bollinger,D,ALRS,2022,h1
S2_Bollinger,D,ALRS,2023,h1
S2_Bollinger,D,ALRS,2024,h1
S2_Bollinger,D,ALRS,2025,h1
S3_Donchian,B,ALRS,2022,h22
S3_Donchian,B,ALRS,2023,h22
S3_Donchian,B,ALRS,2024,h5
S3_Donchian,B,ALRS,2025,h5
S3_Donchian,C,ALRS,2022,h22
S3_Donchian,C,ALRS,2023,h1
S3_Donchian,C,ALRS,2024,h1
S3_Donchian,C,ALRS,2025,h1
S3_Donchian,D,ALRS,2022,h1
S3_Donchian,D,ALRS,2023,h22
S3_Donchian,D,ALRS,2024,h22
S3_Donchian,D,ALRS,2025,h22
S4_Supertrend,B,ALRS,2022,h1
S4_Supertrend,B,ALRS,2023,h22
S4_Supertrend,B,ALRS,2024,h5
S4_Supertrend,B,ALRS,2025,h5
S4_Supertrend,C,ALRS,2022,h22
