date,META_A,META_D,META_BEST
2024-07-10,1.2576233556559768,1.2925589325778433,1.2337757543977963
2024-07-11,1.2613201691010654,1.2951963775371196,1.2348510959273187
2024-07-12,1.2684872143717159,1.3009536125435774,1.2377514289524945
2024-07-15,1.2708426138097495,1.3037746878525247,1.2395921838754178
2024-07-16,1.2706618960031086,1.3040929695474177,1.239577290661443
2024-07-17,1.2646465743655,1.3014358935464514,1.2392027898134428
2024-07-18,1.2629227498701323,1.3005625975259842,1.238566787569613
2024-07-19,1.2608182270384485,1.299968092511796,1.2391362048073928
2024-07-22,1.2611903296023825,1.2999466686552879,1.2390093737500534
2024-07-23,1.2618686670034647,1.3004014648106397,1.2399920766644177
2024-07-24,1.261999636352413,1.3011158451999663,1.2401429959785006
2024-07-25,1.266910058626093,1.3051463261679648,1.2411536294792755
2024-07-26,1.2736778258328059,1.3107297386965122,1.2434046848723077
2024-07-29,1.2702780922640546,1.3076331797817515,1.2422678931183841
2024-07-30,1.2696999392630492,1.3073137237139374,1.2425543744658718
2024-07-31,1.2733072909803518,1.3098703114305847,1.2434051172149136
2024-08-01,1.275173827269672,1.3117712558401393,1.2443934376504295
2024-08-02,1.283035895874573,1.3181527603883403,1.24644233351951
2024-08-05,1.282178324870585,1.3171844929274428,1.2457711565837701
2024-08-06,1.277650434551764,1.313837157415306,1.2434941006447824
2024-08-07,1.2812397225105894,1.3166623267011788,1.2450057796057579
2024-08-08,1.2801877058697047,1.315578137889247,1.244650996655832
2024-08-09,1.2798001434752413,1.315494361228535,1.2453091931179079
2024-08-12,1.2745035302300391,1.3118252543869255,1.2437003850083106
2024-08-13,1.2782891831927796,1.3143471394085389,1.2449059671958325
2024-08-14,1.2805946435289641,1.3162225219384245,1.2456737821128885
2024-08-15,1.2844104169502106,1.3195948274046525,1.2474798725613356
2024-08-16,1.2887475791656107,1.3237824364866566,1.2497034665421567
2024-08-19,1.291227328632061,1.326096401566723,1.2511879944359
2024-08-20,1.2926552283225197,1.3267607518121594,1.2517445660340771
2024-08-21,1.303670360974656,1.3363441538824288,1.2587763962519236
2024-08-22,1.3091119459892606,1.3407849536376018,1.26102486288239
2024-08-23,1.299512116429773,1.3330072603191465,1.2566727211531938
2024-08-26,1.3072998499679416,1.3386335797256494,1.259907006799289
2024-08-27,1.310266111789519,1.3397636800476553,1.2606562994354944
2024-08-28,1.3109063904098872,1.3414092153654127,1.2613206445415461
