strategy,approach,method,net_sharpe,ann_ret_pct,maxdd_pct,comm_level
S2_Bollinger,A,EW,2.541,4.38,-1.58,net_0.05
S2_Bollinger,A,InvVol,1.7852,2.69,-0.97,net_0.05
S2_Bollinger,A,MaxSharpe,1.7746,3.57,-1.84,net_0.05
S2_Bollinger,A,MinVar,2.6107,3.93,-0.62,net_0.05
S2_Bollinger,B,EW,2.5213,3.68,-0.76,net_0.05
S2_Bollinger,B,InvVol,1.9288,2.52,-0.7,net_0.05
S2_Bollinger,B,MaxSharpe,1.7092,2.82,-1.33,net_0.05
S2_Bollinger,B,MinVar,2.5194,3.41,-0.46,net_0.05
S2_Bollinger,C,EW,3.4995,5.06,-0.68,net_0.05
S2_Bollinger,C,InvVol,1.9722,2.64,-0.7,net_0.05
S2_Bollinger,C,MaxSharpe,2.7372,5.1,-0.94,net_0.05
S2_Bollinger,C,MinVar,3.1273,4.22,-0.47,net_0.05
S2_Bollinger,D,EW,3.0418,3.86,-0.62,net_0.05
S2_Bollinger,D,InvVol,2.1296,2.43,-0.39,net_0.05
S2_Bollinger,D,MaxSharpe,2.1777,3.26,-0.91,net_0.05
S2_Bollinger,D,MinVar,2.9328,3.46,-0.33,net_0.05
S3_Donchian,A,EW,1.0506,16.31,-14.87,net_0.05
S3_Donchian,A,InvVol,0.8852,11.35,-15.0,net_0.05
S3_Donchian,A,MaxSharpe,0.8102,13.77,-17.69,net_0.05
S3_Donchian,A,MinVar,0.9044,12.82,-18.24,net_0.05
S3_Donchian,B,EW,2.1559,10.7,-2.22,net_0.05
S3_Donchian,B,InvVol,1.896,8.67,-3.42,net_0.05
S3_Donchian,B,MaxSharpe,1.6466,9.16,-3.36,net_0.05
S3_Donchian,B,MinVar,2.1724,10.82,-2.27,net_0.05
S3_Donchian,C,EW,1.6494,16.91,-8.29,net_0.05
S3_Donchian,C,InvVol,1.8453,11.63,-6.14,net_0.05
S3_Donchian,C,MaxSharpe,1.4272,15.08,-8.14,net_0.05
S3_Donchian,C,MinVar,1.7358,16.73,-7.21,net_0.05
S3_Donchian,D,EW,1.8432,19.6,-9.76,net_0.05
S3_Donchian,D,InvVol,1.7626,13.57,-8.96,net_0.05
S3_Donchian,D,MaxSharpe,1.7083,19.92,-10.84,net_0.05
S3_Donchian,D,MinVar,1.9224,17.88,-8.05,net_0.05
S4_Supertrend,A,EW,1.2619,14.71,-9.08,net_0.05
S4_Supertrend,A,InvVol,1.1984,9.81,-6.86,net_0.05
S4_Supertrend,A,MaxSharpe,0.9266,12.37,-18.55,net_0.05
S4_Supertrend,A,MinVar,1.3246,14.72,-8.02,net_0.05
S4_Supertrend,B,EW,2.045,5.82,-1.14,net_0.05
S4_Supertrend,B,InvVol,1.3882,4.64,-1.37,net_0.05
S4_Supertrend,B,MaxSharpe,1.7997,5.28,-1.89,net_0.05
S4_Supertrend,B,MinVar,2.0416,5.81,-1.16,net_0.05
S4_Supertrend,C,EW,1.8847,14.13,-3.49,net_0.05
S4_Supertrend,C,InvVol,1.4922,7.62,-3.07,net_0.05
S4_Supertrend,C,MaxSharpe,1.6004,13.0,-4.52,net_0.05
S4_Supertrend,C,MinVar,1.9238,14.16,-4.17,net_0.05
S4_Supertrend,D,EW,2.4485,16.71,-5.74,net_0.05
S4_Supertrend,D,InvVol,2.0181,11.11,-4.7,net_0.05
S4_Supertrend,D,MaxSharpe,1.9931,15.43,-6.51,net_0.05
S4_Supertrend,D,MinVar,2.5364,16.06,-5.49,net_0.05
S5_PivotPoints,A,EW,1.6618,1.81,-0.48,net_0.05
S5_PivotPoints,A,InvVol,1.2738,1.48,-0.28,net_0.05
S5_PivotPoints,A,MaxSharpe,1.0672,1.47,-1.07,net_0.05
S5_PivotPoints,A,MinVar,1.6311,1.73,-0.45,net_0.05
S5_PivotPoints,B,EW,1.9583,2.22,-0.31,net_0.05
S5_PivotPoints,B,InvVol,1.2873,1.4,-0.27,net_0.05
S5_PivotPoints,B,MaxSharpe,1.7714,2.8,-0.8,net_0.05
S5_PivotPoints,B,MinVar,1.7482,1.87,-0.25,net_0.05
S5_PivotPoints,C,EW,1.9595,1.4,-0.33,net_0.05
S5_PivotPoints,C,InvVol,1.3434,1.13,-0.25,net_0.05
S5_PivotPoints,C,MaxSharpe,1.1187,1.06,-0.93,net_0.05
S5_PivotPoints,C,MinVar,1.8961,1.44,-0.3,net_0.05
S5_PivotPoints,D,EW,1.6658,1.69,-0.34,net_0.05
S5_PivotPoints,D,InvVol,1.2171,1.28,-0.27,net_0.05
S5_PivotPoints,D,MaxSharpe,0.9187,1.11,-0.81,net_0.05
S5_PivotPoints,D,MinVar,1.6577,1.65,-0.24,net_0.05
S6_VWAP,A,EW,2.7292,3.67,-1.28,net_0.05
S6_VWAP,A,InvVol,1.6995,2.15,-0.79,net_0.05
S6_VWAP,A,MaxSharpe,2.0466,2.89,-1.56,net_0.05
S6_VWAP,A,MinVar,2.7021,3.74,-1.27,net_0.05
S6_VWAP,B,EW,2.9017,3.68,-0.79,net_0.05
S6_VWAP,B,InvVol,1.9089,1.91,-0.5,net_0.05
S6_VWAP,B,MaxSharpe,2.0855,2.64,-1.17,net_0.05
S6_VWAP,B,MinVar,2.9203,3.66,-0.66,net_0.05
S6_VWAP,C,EW,3.0736,3.64,-0.45,net_0.05
S6_VWAP,C,InvVol,1.8175,2.11,-0.74,net_0.05
S6_VWAP,C,MaxSharpe,2.4944,3.1,-0.61,net_0.05
S6_VWAP,C,MinVar,3.0123,3.69,-0.45,net_0.05
S6_VWAP,D,EW,3.3029,3.84,-0.73,net_0.05
S6_VWAP,D,InvVol,2.0725,2.55,-0.61,net_0.05
S6_VWAP,D,MaxSharpe,2.7316,3.39,-0.61,net_0.05
S6_VWAP,D,MinVar,3.2355,3.95,-0.73,net_0.05
S1_MeanRev,A,EW,2.5263,4.17,-1.1,net_0.06
S1_MeanRev,A,InvVol,1.9892,2.81,-0.74,net_0.06
S1_MeanRev,A,MaxSharpe,1.774,4.41,-2.55,net_0.06
S1_MeanRev,A,MinVar,2.6295,3.65,-0.71,net_0.06
S1_MeanRev,B,EW,2.6515,3.77,-0.9,net_0.06
S1_MeanRev,B,InvVol,1.5346,1.49,-0.72,net_0.06
S1_MeanRev,B,MaxSharpe,1.9784,3.97,-2.45,net_0.06
S1_MeanRev,B,MinVar,2.7937,3.4,-0.46,net_0.06
S1_MeanRev,C,EW,3.1829,4.64,-0.93,net_0.06
S1_MeanRev,C,InvVol,2.0405,2.83,-0.74,net_0.06
S1_MeanRev,C,MaxSharpe,2.4807,5.32,-2.02,net_0.06
S1_MeanRev,C,MinVar,3.1705,4.32,-0.57,net_0.06
S1_MeanRev,D,EW,3.185,4.3,-0.79,net_0.06
S1_MeanRev,D,InvVol,2.3734,2.94,-0.76,net_0.06
S1_MeanRev,D,MaxSharpe,1.9771,3.92,-2.2,net_0.06
S1_MeanRev,D,MinVar,3.0118,3.74,-0.62,net_0.06
S2_Bollinger,A,EW,2.519,4.35,-1.59,net_0.06
S2_Bollinger,A,InvVol,1.747,2.63,-0.97,net_0.06
S2_Bollinger,A,MaxSharpe,1.7424,3.5,-1.85,net_0.06
S2_Bollinger,A,MinVar,2.587,3.89,-0.62,net_0.06
S2_Bollinger,B,EW,2.4959,3.65,-0.76,net_0.06
S2_Bollinger,B,InvVol,1.8808,2.46,-0.71,net_0.06
S2_Bollinger,B,MaxSharpe,1.6697,2.76,-1.36,net_0.06
S2_Bollinger,B,MinVar,2.4919,3.37,-0.46,net_0.06
S2_Bollinger,C,EW,3.4688,5.02,-0.69,net_0.06
