time,open,high,low,close,Volume
2015-07-02T07:00:00+03:00,57322,57375,56921,56979,558030
2015-07-02T11:00:00+03:00,56978,57216,56968,57071,769579
2015-07-02T15:00:00+03:00,57068,57146,56717,56858,1194556
2015-07-02T19:00:00+03:00,56844,56922,56669,56903,276410
2015-07-02T23:00:00+03:00,56908,56945,56866,56932,39557
2015-07-03T07:00:00+03:00,56922,57069,56755,57034,400266
2015-07-03T11:00:00+03:00,57037,57237,56980,57161,892903
2015-07-03T15:00:00+03:00,57161,57360,57073,57263,763898
2015-07-03T19:00:00+03:00,57300,57375,57165,57325,159244
2015-07-03T23:00:00+03:00,57328,57350,57305,57314,35204
2015-07-06T07:00:00+03:00,57350,57970,57350,57704,557088
2015-07-06T11:00:00+03:00,57704,57968,57652,57792,970638
2015-07-06T15:00:00+03:00,57795,58032,57713,57942,695249
2015-07-06T19:00:00+03:00,57953,58236,57827,58225,362992
2015-07-06T23:00:00+03:00,58224,58295,58211,58264,53786
2015-07-07T07:00:00+03:00,58289,58748,58289,58541,750622
2015-07-07T11:00:00+03:00,58538,58917,58381,58877,1021412
2015-07-07T15:00:00+03:00,58875,59076,58702,58776,1175958
2015-07-07T19:00:00+03:00,58740,58760,57755,57912,871537
2015-07-07T23:00:00+03:00,57912,58099,57890,57995,118088
2015-07-08T07:00:00+03:00,57998,58708,57998,58526,874399
2015-07-08T11:00:00+03:00,58522,58563,58140,58365,1274042
2015-07-08T15:00:00+03:00,58365,58976,58328,58825,1323521
2015-07-08T19:00:00+03:00,58873,59010,58690,58791,388146
2015-07-08T23:00:00+03:00,58791,58870,58751,58869,44031
2015-07-09T07:00:00+03:00,58829,58829,58055,58354,675148
2015-07-09T11:00:00+03:00,58354,58516,58014,58086,1181981
2015-07-09T15:00:00+03:00,58086,58496,57790,58495,1313425
2015-07-09T19:00:00+03:00,58433,58690,58316,58644,365272
2015-07-09T23:00:00+03:00,58643,58675,58451,58481,57334
2015-07-10T07:00:00+03:00,58460,58460,57687,57909,624488
2015-07-10T11:00:00+03:00,57909,58089,57557,57612,1148185
2015-07-10T15:00:00+03:00,57612,57925,57408,57705,1107185
2015-07-10T19:00:00+03:00,57691,57719,57351,57390,381981
2015-07-10T23:00:00+03:00,57388,57598,57383,57545,56952
2015-07-13T07:00:00+03:00,57599,57905,57577,57725,490134
2015-07-13T11:00:00+03:00,57727,58095,57724,57946,1224535
2015-07-13T15:00:00+03:00,57946,58036,57666,57697,881170
2015-07-13T19:00:00+03:00,57681,57816,57502,57625,356687
2015-07-13T23:00:00+03:00,57626,57799,57625,57728,60737
2015-07-14T07:00:00+03:00,57739,58310,57739,58157,551546
2015-07-14T11:00:00+03:00,58158,58248,57951,58051,862850
2015-07-14T15:00:00+03:00,58053,58063,57510,57517,1183296
2015-07-14T19:00:00+03:00,57521,57712,57506,57536,240371
2015-07-14T23:00:00+03:00,57533,57649,57450,57522,83954
2015-07-15T07:00:00+03:00,57538,57890,57538,57813,394802
2015-07-15T11:00:00+03:00,57815,57992,57649,57926,1024350
2015-07-15T15:00:00+03:00,57926,58130,57865,58006,1029970
2015-07-15T19:00:00+03:00,58012,58170,57980,58130,222016
2015-07-15T23:00:00+03:00,58129,58154,58059,58150,39100
2015-07-16T07:00:00+03:00,58154,58300,57995,58106,365069
2015-07-16T11:00:00+03:00,58106,58153,57939,58067,665927
2015-07-16T15:00:00+03:00,58065,58185,57608,57719,1417329
2015-07-16T19:00:00+03:00,57724,58084,57690,58059,262490
2015-07-16T23:00:00+03:00,58060,58093,58044,58088,30992
2015-07-17T07:00:00+03:00,58078,58087,57830,57931,413493
2015-07-17T11:00:00+03:00,57930,57987,57810,57966,488951
2015-07-17T15:00:00+03:00,57966,58232,57923,58095,937322
2015-07-17T19:00:00+03:00,58117,58140,57975,58045,156245
2015-07-17T23:00:00+03:00,58044,58085,58001,58044,25365
2015-07-20T07:00:00+03:00,58060,58177,57751,57771,557937
2015-07-20T11:00:00+03:00,57771,58152,57755,58106,854246
2015-07-20T15:00:00+03:00,58107,58165,57920,57978,656909
2015-07-20T19:00:00+03:00,57961,58071,57865,58065,162845
2015-07-20T23:00:00+03:00,58064,58128,58054,58120,43754
2015-07-21T07:00:00+03:00,58114,58200,57978,58175,283145
2015-07-21T11:00:00+03:00,58175,58192,57971,58029,665658
2015-07-21T15:00:00+03:00,58030,58060,57760,58003,1133003
2015-07-21T19:00:00+03:00,57990,58060,57925,57956,152602
2015-07-21T23:00:00+03:00,57957,58020,57938,58010,27980
2015-07-22T07:00:00+03:00,58018,58120,57980,58111,365322
2015-07-22T11:00:00+03:00,58110,58250,58076,58218,922855
2015-07-22T15:00:00+03:00,58218,58247,58008,58170,811832
2015-07-22T19:00:00+03:00,58184,58610,58125,58592,429094
2015-07-22T23:00:00+03:00,58595,58598,58506,58543,53139
2015-07-23T07:00:00+03:00,58521,58521,58327,58408,431538
2015-07-23T11:00:00+03:00,58408,58575,58390,58509,736496
2015-07-23T15:00:00+03:00,58510,58664,58465,58594,980811
2015-07-23T19:00:00+03:00,58610,59022,58597,58965,427331
2015-07-23T23:00:00+03:00,58965,58965,58870,58875,44328
2015-07-24T07:00:00+03:00,58877,59140,58854,59063,715937
2015-07-24T11:00:00+03:00,59065,59470,59014,59448,1122482
2015-07-24T15:00:00+03:00,59445,59742,59319,59506,1120835
2015-07-24T19:00:00+03:00,59508,59575,59378,59380,238935
2015-07-24T23:00:00+03:00,59378,59437,59325,59428,50624
2015-07-27T07:00:00+03:00,59420,59855,59316,59833,613707
2015-07-27T11:00:00+03:00,59833,60845,59732,60531,2008391
2015-07-27T15:00:00+03:00,60533,60620,60201,60350,1129669
2015-07-27T19:00:00+03:00,60373,60687,60120,60637,445485
2015-07-27T23:00:00+03:00,60636,60657,60560,60641,70049
2015-07-28T07:00:00+03:00,60648,61407,60648,61291,872226
2015-07-28T11:00:00+03:00,61294,61450,60814,61159,1600765
2015-07-28T15:00:00+03:00,61163,61890,60925,61228,2030608
2015-07-28T19:00:00+03:00,61211,61329,60820,60928,662762
2015-07-28T23:00:00+03:00,60928,61049,60906,60997,60846
2015-07-29T07:00:00+03:00,60972,61030,60360,60746,1076599
2015-07-29T11:00:00+03:00,60749,60874,60175,60338,1520700
2015-07-29T15:00:00+03:00,60341,60661,59860,59874,1910389
2015-07-29T19:00:00+03:00,59900,59983,59441,59686,819742
2015-07-29T23:00:00+03:00,59687,59722,59574,59616,55743
2015-07-30T07:00:00+03:00,59620,60150,59620,59905,678730
2015-07-30T11:00:00+03:00,59905,60589,59815,60514,1597189
2015-07-30T15:00:00+03:00,60518,60844,60322,60389,1357939
2015-07-30T19:00:00+03:00,60371,60694,60212,60628,427757
2015-07-30T23:00:00+03:00,60629,60679,60620,60656,36807
2015-07-31T07:00:00+03:00,60684,61400,60684,61183,823453
2015-07-31T11:00:00+03:00,61182,62018,61110,61830,2148989
2015-07-31T15:00:00+03:00,61830,62144,61315,62012,1883664
2015-07-31T19:00:00+03:00,62050,62567,62032,62479,717777
2015-07-31T23:00:00+03:00,62478,62643,62471,62603,67013
2015-08-03T07:00:00+03:00,62640,63693,62640,63280,1165817
2015-08-03T11:00:00+03:00,63281,63713,63224,63468,1609073
2015-08-03T15:00:00+03:00,63469,63923,63234,63743,1744483
2015-08-03T19:00:00+03:00,63690,64520,63669,64342,760734
2015-08-03T23:00:00+03:00,64337,64469,64250,64430,74658
2015-08-04T07:00:00+03:00,64401,64402,63581,63838,919679
2015-08-04T11:00:00+03:00,63837,63962,63440,63491,1483329
2015-08-04T15:00:00+03:00,63493,64150,63250,63785,1527633
2015-08-04T19:00:00+03:00,63761,64140,63449,64034,738965
2015-08-04T23:00:00+03:00,64034,64089,63839,63870,100223
2015-08-05T07:00:00+03:00,63870,63930,63332,63631,669697
2015-08-05T11:00:00+03:00,63631,63931,63612,63813,968772
2015-08-05T15:00:00+03:00,63815,63990,63353,63983,1701023
2015-08-05T19:00:00+03:00,63994,64667,63994,64195,931781
2015-08-05T23:00:00+03:00,64191,64330,64160,64300,60172
2015-08-06T07:00:00+03:00,64300,64975,64131,64941,949825
2015-08-06T11:00:00+03:00,64941,65266,64708,65021,1465960
2015-08-06T15:00:00+03:00,65018,65288,64756,65190,1318016
2015-08-06T19:00:00+03:00,65220,65409,64800,64888,619355
2015-08-06T23:00:00+03:00,64885,64910,64785,64790,78598
2015-08-07T07:00:00+03:00,64782,64786,64392,64535,767175
2015-08-07T11:00:00+03:00,64531,65232,64503,64938,1462394
2015-08-07T15:00:00+03:00,64935,65491,64620,64735,2426780
2015-08-07T19:00:00+03:00,64720,64891,64219,64776,737342
2015-08-07T23:00:00+03:00,64777,64840,64769,64830,47190
2015-08-10T07:00:00+03:00,64839,65450,64839,65214,576938
2015-08-10T11:00:00+03:00,65211,65300,64875,65027,1081732
2015-08-10T15:00:00+03:00,65025,65027,63719,63789,2471856
2015-08-10T19:00:00+03:00,63847,63991,63350,63536,691232
2015-08-10T23:00:00+03:00,63535,63642,63483,63510,61272
2015-08-11T07:00:00+03:00,63511,64100,63511,63933,611758
2015-08-11T11:00:00+03:00,63932,64648,63662,64640,1987097
2015-08-11T15:00:00+03:00,64643,65238,64580,65099,1941934
2015-08-11T19:00:00+03:00,65063,65129,64759,64786,457771
2015-08-11T23:00:00+03:00,64785,65077,64752,64960,92012
2015-08-12T07:00:00+03:00,64979,65975,64979,65656,1071568
2015-08-12T11:00:00+03:00,65656,65730,65217,65527,1378358
2015-08-12T15:00:00+03:00,65524,65546,64710,65020,2018995
2015-08-12T19:00:00+03:00,64920,65134,64733,64806,408134
2015-08-12T23:00:00+03:00,64806,64950,64775,64850,45143
2015-08-13T07:00:00+03:00,64851,64851,64342,64704,685880
2015-08-13T11:00:00+03:00,64704,65044,64570,64969,1302160
2015-08-13T15:00:00+03:00,64971,65712,64865,65492,2120585
2015-08-13T19:00:00+03:00,65405,65489,65176,65310,418737
2015-08-13T23:00:00+03:00,65311,65399,65290,65389,33955
2015-08-14T07:00:00+03:00,65402,65700,65332,65584,489084
2015-08-14T11:00:00+03:00,65587,65630,65310,65465,1057585
2015-08-14T15:00:00+03:00,65468,65532,64947,65154,1656199
2015-08-14T19:00:00+03:00,65106,65645,65106,65589,339505
2015-08-14T23:00:00+03:00,65592,65636,65513,65636,58761
2015-08-17T07:00:00+03:00,65639,66387,65639,66216,786892
2015-08-17T11:00:00+03:00,66213,66325,65871,66050,1160819
2015-08-17T15:00:00+03:00,66050,66078,65735,65747,1050401
2015-08-17T19:00:00+03:00,65800,66110,65670,65954,490954
2015-08-17T23:00:00+03:00,65960,66140,65954,66134,90045
2015-08-18T07:00:00+03:00,66140,66504,66140,66382,530442
2015-08-18T11:00:00+03:00,66384,66481,66092,66330,1056643
2015-08-18T15:00:00+03:00,66333,66543,66168,66400,1232116
2015-08-18T19:00:00+03:00,66401,66459,66175,66415,398299
2015-08-18T23:00:00+03:00,66414,66480,66368,66453,40758
2015-08-19T07:00:00+03:00,66479,66550,66126,66133,547558
2015-08-19T11:00:00+03:00,66133,66273,66027,66172,1145766
2015-08-19T15:00:00+03:00,66170,67106,66157,67077,2104277
2015-08-19T19:00:00+03:00,67049,67203,66727,67200,830766
2015-08-19T23:00:00+03:00,67203,67230,67154,67228,75604
2015-08-20T07:00:00+03:00,67230,67671,67230,67575,603462
2015-08-20T11:00:00+03:00,67582,68127,67475,67970,1853573
2015-08-20T15:00:00+03:00,67970,67985,67440,67630,1783930
2015-08-20T19:00:00+03:00,67626,68100,67470,68100,539958
2015-08-20T23:00:00+03:00,68100,68575,68092,68449,258660
2015-08-21T07:00:00+03:00,68481,68806,68327,68771,845033
2015-08-21T11:00:00+03:00,68773,68928,68570,68799,1173376
2015-08-21T15:00:00+03:00,68799,69267,68678,69205,2158080
2015-08-21T19:00:00+03:00,69205,69764,69070,69749,807335
2015-08-21T23:00:00+03:00,69748,69800,69606,69622,104215
2015-08-24T07:00:00+03:00,69692,71772,69692,71259,1400593
