time,close,Volume
2000-03-01,29,
2000-04-01,29.3,
2000-05-01,29.8,
2000-06-01,30.5,
2000-07-01,31.1,
2000-08-01,31.4,
2000-09-01,31.8,
2000-10-01,32.5,
2000-11-01,33,
2000-12-01,33.5,
2001-01-01,34.4,
2001-02-01,35.2,
2001-03-01,35.9,
2001-04-01,36.5,
2001-05-01,37.2,
2001-06-01,37.8,
2001-07-01,37.9,
2001-08-01,37.9,
2001-09-01,38.2,
2001-10-01,38.6,
2001-11-01,39.1,
2001-12-01,39.7,
2002-01-01,41,
2002-02-01,41.4,
2002-03-01,41.9,
2002-04-01,42.4,
2002-05-01,43.1,
2002-06-01,43.3,
2002-07-01,43.6,
2002-08-01,43.7,
2002-09-01,43.8,
2002-10-01,44.3,
2002-11-01,45,
2002-12-01,45.7,
2003-01-01,46.8,
2003-02-01,47.6,
2003-03-01,48.1,
2003-04-01,48.6,
2003-05-01,48.9,
2003-06-01,49.3,
2003-07-01,49.7,
2003-08-01,49.5,
2003-09-01,49.7,
2003-10-01,50.1,
2003-11-01,50.6,
2003-12-01,51.2,
2004-01-01,52.1,
2004-02-01,52.6,
2004-03-01,53,
2004-04-01,53.5,
2004-05-01,53.9,
2004-06-01,54.3,
2004-07-01,54.8,
2004-08-01,55.1,
2004-09-01,55.3,
2004-10-01,55.9,
2004-11-01,56.6,
2004-12-01,57.2,
2005-01-01,58.7,
2005-02-01,59.4,
2005-03-01,60.2,
2005-04-01,60.9,
2005-05-01,61.4,
2005-06-01,61.8,
2005-07-01,62,
2005-08-01,62,
2005-09-01,62.1,
2005-10-01,62.5,
2005-11-01,62.9,
2005-12-01,63.4,
2006-01-01,65,
2006-02-01,66.1,
2006-03-01,66.6,
2006-04-01,66.8,
2006-05-01,67.2,
2006-06-01,67.4,
2006-07-01,67.8,
2006-08-01,67.9,
2006-09-01,68,
2006-10-01,68.2,
2006-11-01,68.6,
2006-12-01,69.2,
2007-01-01,70.3,
2007-02-01,71.1,
2007-03-01,71.5,
2007-04-01,71.9,
2007-05-01,72.4,
2007-06-01,73.1,
2007-07-01,73.7,
2007-08-01,73.8,
2007-09-01,74.4,
2007-10-01,75.6,
2007-11-01,76.5,
2007-12-01,77.4,
2008-01-01,79.2,
2008-02-01,80.1,
2008-03-01,81.1,
2008-04-01,82.2,
2008-05-01,83.3,
2008-06-01,84.1,
2008-07-01,84.6,
2008-08-01,84.8,
2008-09-01,85.6,
2008-10-01,86.3,
2008-11-01,87,
2008-12-01,87.6,
2009-01-01,89.7,
2009-02-01,91.2,
2009-03-01,92.4,
2009-04-01,93,
2009-05-01,93.6,
2009-06-01,94.1,
2009-07-01,94.7,
2009-08-01,94.7,
2009-09-01,94.7,
2009-10-01,94.7,
2009-11-01,95,
2009-12-01,95.4,
2010-01-01,96.9,
2010-02-01,97.7,
2010-03-01,98.4,
2010-04-01,98.7,
2010-05-01,99.1,
2010-06-01,99.5,
2010-07-01,99.9,
2010-08-01,100.5,
2010-09-01,101.3,
2010-10-01,101.8,
2010-11-01,102.6,
2010-12-01,103.7,
2011-01-01,106.2,
2011-02-01,107,
2011-03-01,107.7,
2011-04-01,108.1,
2011-05-01,108.7,
2011-06-01,108.9,
2011-07-01,108.9,
2011-08-01,108.7,
2011-09-01,108.6,
2011-10-01,109.1,
2011-11-01,109.6,
2011-12-01,110.1,
2012-01-01,110.6,
2012-02-01,111,
2012-03-01,111.7,
2012-04-01,112,
2012-05-01,112.6,
2012-06-01,113.6,
2012-07-01,115,
2012-08-01,115.1,
2012-09-01,115.7,
2012-10-01,116.3,
2012-11-01,116.7,
2012-12-01,117.3,
2013-01-01,118.4,
2013-02-01,119.1,
2013-03-01,119.5,
2013-04-01,120.1,
2013-05-01,120.9,
2013-06-01,121.4,
2013-07-01,122.4,
2013-08-01,122.6,
2013-09-01,122.8,
2013-10-01,123.5,
2013-11-01,124.3,
2013-12-01,124.9,
2014-01-01,125.6,
2014-02-01,126.5,
2014-03-01,127.8,
2014-04-01,128.9,
2014-05-01,130.1,
2014-06-01,130.9,
2014-07-01,131.5,
2014-08-01,131.8,
2014-09-01,132.7,
2014-10-01,133.8,
2014-11-01,135.5,
2014-12-01,139,
2015-01-01,144.4,
2015-02-01,147.6,
2015-03-01,149.4,
2015-04-01,150,
2015-05-01,150.6,
2015-06-01,150.9,
2015-07-01,152.1,
2015-08-01,152.6,
2015-09-01,153.5,
2015-10-01,154.6,
2015-11-01,155.8,
2015-12-01,157,
2016-01-01,158.5,
2016-02-01,159.5,
2016-03-01,160.2,
2016-04-01,160.9,
2016-05-01,161.6,
2016-06-01,162.2,
2016-07-01,163.1,
2016-08-01,163.1,
2016-09-01,163.3,
2016-10-01,164.1,
2016-11-01,164.8,
2016-12-01,165.4,
2017-01-01,166.5,
2017-02-01,166.8,
2017-03-01,167,
2017-04-01,167.6,
2017-05-01,168.2,
2017-06-01,169.2,
2017-07-01,169.3,
2017-08-01,168.4,
2017-09-01,168.2,
2017-10-01,168.5,
2017-11-01,168.9,
2017-12-01,169.6,
2018-01-01,170.1,
2018-02-01,170.5,
2018-03-01,171,
2018-04-01,171.6,
2018-05-01,172.3,
2018-06-01,173.1,
2018-07-01,173.6,
2018-08-01,173.6,
2018-09-01,173.9,
2018-10-01,174.5,
2018-11-01,175.3,
2018-12-01,176.8,
2019-01-01,178.6,
2019-02-01,179.4,
2019-03-01,179.9,
2019-04-01,180.5,
2019-05-01,181.1,
2019-06-01,181.2,
2019-07-01,181.5,
2019-08-01,181.1,
2019-09-01,180.8,
2019-10-01,181,
2019-11-01,181.5,
2019-12-01,182.2,
2020-01-01,182.9,
2020-02-01,183.5,
2020-03-01,184.5,
2020-04-01,186.1,
2020-05-01,186.6,
2020-06-01,187,
2020-07-01,187.6,
2020-08-01,187.6,
2020-09-01,187.4,
2020-10-01,188.2,
2020-11-01,189.6,
2020-12-01,191.1,
2021-01-01,192.4,
2021-02-01,193.9,
2021-03-01,195.2,
