time,close,Volume
2009-03-30,11581600000000,
2009-04-27,11838700000000,
2009-05-25,12331600000000,
2009-06-29,12650500000000,
2009-07-27,12618100000000,
2009-08-31,12797300000000,
2009-09-28,13101900000000,
2009-10-26,13376900000000,
2009-11-30,13713300000000,
2009-12-28,15267600000000,
2010-01-25,14904100000000,
2010-02-22,15236400000000,
2010-03-29,15639400000000,
2010-04-26,16098600000000,
2010-05-31,16470599999999.998,
2010-06-28,16900900000000.002,
2010-07-26,17063300000000,
2010-08-30,17437700000000,
2010-09-27,17690200000000,
2010-10-25,17848300000000,
2010-11-29,18264900000000,
2010-12-27,20011900000000,
2011-01-31,19307700000000,
2011-02-28,19536700000000,
2011-03-28,19788700000000,
2011-04-25,20020800000000,
2011-05-30,20160900000000,
2011-06-27,20721900000000,
2011-07-25,20828100000000,
2011-08-29,21061900000000,
2011-09-26,21480400000000,
2011-10-31,21366700000000,
2011-11-28,21920000000000,
2011-12-26,24110100000000,
2012-01-30,23304300000000,
2012-02-27,23503000000000,
2012-03-26,23710900000000,
2012-04-30,23878500000000,
2012-05-28,23991800000000,
2012-06-25,24421500000000,
2012-07-30,24260500000000,
2012-08-27,24239400000000,
2012-09-24,24399500000000,
2012-10-29,24401700000000,
2012-11-26,24706400000000,
2012-12-31,27127500000000,
2013-01-28,26298500000000,
2013-02-25,26737400000000,
2013-03-25,27161500000000,
2013-04-29,27333000000000,
2013-05-27,27557800000000,
2013-06-24,28175300000000,
2013-07-29,28400900000000,
2013-08-26,28460300000000,
2013-09-30,28312800000000,
2013-10-28,28225300000000,
2013-11-25,28825500000000,
2013-12-30,31157900000000,
2014-01-27,29863000000000,
2014-02-24,30171800000000,
2014-03-31,29521500000000,
2014-04-28,29880800000000,
2014-05-26,29892700000000,
2014-06-30,30075600000000,
2014-07-28,30180100000000,
2014-08-25,30342300000000,
2014-09-29,30299400000000,
2014-10-27,29832900000000,
2014-11-24,30143700000000,
2014-12-29,31615700000000,
2015-01-26,31033700000000,
2015-02-23,31225000000000,
2015-03-30,31028800000000,
2015-04-27,31696900000000,
2015-05-25,31820400000000,
2015-06-29,31936300000000,
2015-07-27,32072500000000,
2015-08-31,32361000000000,
2015-09-28,32052500000000,
2015-10-26,32161000000000,
2015-11-30,32745000000000,
2015-12-28,35179699999999.996,
2016-01-25,33966500000000,
2016-02-29,34309699999999.996,
2016-03-28,34689400000000,
2016-04-25,35105500000000,
2016-05-30,35642900000000,
2016-06-27,35856900000000,
2016-07-25,36031700000000,
2016-08-29,36169600000000,
2016-09-26,36148800000000,
2016-10-31,36051000000000,
2016-11-28,36433000000000,
2016-12-26,38418000000000,
2017-01-30,38016800000000,
2017-02-27,38462300000000,
2017-03-27,38555200000000,
2017-04-24,38663800000000,
2017-05-29,39222900000000,
2017-06-26,39623100000000,
2017-07-31,39275900000000,
2017-08-28,39419300000000,
2017-09-25,39571000000000,
2017-10-30,39667500000000,
2017-11-27,40114400000000,
2017-12-25,42442200000000,
2018-01-29,41597500000000,
2018-02-26,42045500000000,
2018-03-26,42377000000000,
2018-04-30,43122000000000,
2018-05-28,43257400000000,
2018-06-25,44126700000000,
2018-07-30,43910300000000,
2018-08-27,44369100000000,
2018-09-24,44254700000000,
2018-10-29,44218400000000,
2018-11-26,44891600000000,
2018-12-31,47109300000000,
2019-01-28,45721200000000,
2019-02-25,46212600000000,
2019-03-25,46141200000000,
2019-04-29,46435900000000,
2019-05-27,46735300000000,
2019-06-24,47349400000000,
2019-07-29,47351000000000,
2019-08-26,47584100000000,
2019-09-30,48266800000000,
2019-10-28,48082400000000,
2019-11-25,49195300000000,
2019-12-30,51660300000000,
2020-01-27,50622900000000,
2020-02-24,51314200000000,
2020-03-30,52327000000000,
2020-04-27,52951700000000,
2020-05-25,53068000000000,
2020-06-29,54392600000000,
2020-07-27,54687400000000,
2020-08-31,55294200000000,
2020-09-28,56023900000000,
2020-10-26,55871600000000,
2020-11-30,56122600000000,
2020-12-28,58652100000000,
2021-01-25,57598400000000,
2021-02-22,58178200000000,
2021-03-29,58261600000000,
2021-04-26,59206300000000,
2021-05-31,59194100000000,
2021-06-28,59583900000000,
2021-07-26,59379700000000,
2021-08-30,59816900000000,
2021-09-27,60606200000000,
2021-10-25,60813700000000,
2021-11-29,62312500000000,
2021-12-27,66252899999999.99,
2022-01-31,65310300000000,
2022-02-28,66659700000000,
2022-03-28,68203500000000,
2022-04-25,68475300000000,
2022-05-30,68993399999999.99,
2022-06-27,69623200000000,
2022-07-25,70825400000000,
2022-08-29,73333300000000,
2022-09-26,75096800000000,
2022-10-31,75636500000000,
2022-11-28,76873300000000,
2022-12-26,82388000000000,
2023-01-30,82221700000000,
2023-02-27,83955900000000,
2023-03-27,84813400000000,
2023-04-24,84636000000000,
2023-05-29,86197300000000,
2023-06-26,87276800000000,
2023-07-31,88294000000000,
2023-08-28,90110900000000,
2023-09-25,90597300000000,
2023-10-30,91134700000000,
2023-11-27,92546900000000,
2023-12-25,98385400000000,
2024-01-29,97816700000000,
2024-02-26,99422000000000,
2024-03-25,99595800000000,
2024-04-29,103107400000000,
2024-05-27,102519000000000,
2024-06-24,103557200000000,
2024-07-29,104351300000000,
2024-08-26,106242700000000,
2024-09-30,107629500000000,
2024-10-28,108947900000000,
2024-11-25,111025200000000,
2024-12-30,117256400000000,
2025-01-27,116577800000000,
2025-02-24,117697600000000,
2025-03-31,116505600000000,
2025-04-28,117537100000000,
2025-05-26,118218700000000,
2025-06-30,119049700000000,
2025-07-28,120044500000000,
2025-08-25,121566900000000,
2025-09-29,121265800000000,
2025-10-27,123071900000000,
2025-11-24,124721600000000,
2025-12-29,129628700000000,
