strategy,timeframe,category,ticker,sharpe,ann_return_pct,ann_vol_pct,max_dd_pct,calmar,win_rate_pct,profit_factor,payoff_ratio,exposure_pct,turnover,avg_trade_bars,n_trades
S6_VWAP,hourly,Range,MGNT,0.1649,0.57,3.45,-8.08,0.0704,47.4,1.089,1.188,1.76,24.7,3.3,64
S6_VWAP,hourly,Range,MOEX,-0.2546,-0.65,2.57,-7.08,-0.0924,51.7,0.873,0.788,1.5,22.0,3.1,57
S6_VWAP,hourly,Range,MTLR,-0.7017,-2.04,2.9,-12.12,-0.1681,45.1,0.598,0.715,0.86,8.8,4.4,23
S6_VWAP,hourly,Range,MTSS,-0.2763,-4.51,16.31,-57.15,-0.0789,48.5,0.927,0.929,15.35,157.0,4.6,392
S6_VWAP,hourly,Range,NVTK,-0.7453,-3.21,4.31,-20.42,-0.1573,44.7,0.766,0.907,3.18,41.9,3.5,107
S6_VWAP,hourly,Range,OGKB,0.477,1.43,3.0,-6.29,0.2277,54.1,1.198,0.944,2.58,30.7,3.9,79
S6_VWAP,hourly,Range,PHOR,-0.3698,-4.46,12.06,-27.76,-0.1607,48.5,0.922,0.925,12.75,134.4,4.4,344
S6_VWAP,hourly,Range,RTKM,0.4399,4.5,10.24,-20.14,0.2237,50.3,1.08,1.005,16.13,173.7,4.4,439
S6_VWAP,hourly,Range,SBER,-0.246,-0.92,3.74,-11.85,-0.0776,57.5,0.908,0.655,3.22,44.4,3.4,112
S6_VWAP,hourly,Range,TATN,0.0553,0.19,3.43,-12.46,0.0152,51.7,1.023,0.891,2.42,28.6,3.9,73
S6_VWAP,hourly,Range,VTBR,-0.6061,-2.99,4.93,-20.58,-0.1453,50.0,0.833,0.778,4.84,54.7,4.1,141
