strategy,category,ticker,sharpe,annual_return,annual_vol,max_drawdown,calmar,win_rate,profit_factor,exposure,turnover,avg_trade_days,n_trades,n_days,n_active
S2_Bollinger,Contrarian,MTSS,-0.6715280974647447,-0.03418523627853757,0.050906635787242395,-0.2515137491538752,-0.13591796231236314,0.4745762711864407,0.5131843289342998,0.037037037037037035,1.8983050847457628,9.833333333333334,6,1593,59
S2_Bollinger,Contrarian,NVTK,0.0912474345895645,0.008200575976379198,0.08987185243361413,-0.25013573424699115,0.0327845039856709,0.47761194029850745,1.0760084856135026,0.04213836477987421,1.9018867924528302,11.166666666666666,6,1590,67
S2_Bollinger,Contrarian,OGKB,-0.08440309873995473,-0.009360701292779038,0.11090471123126988,-0.2415203843384886,-0.038757396475736394,0.5423728813559322,0.9175522337835217,0.0371536523929471,2.0629722921914357,8.428571428571429,7,1588,59
S2_Bollinger,Contrarian,PHOR,0.07710344193271612,0.004175783997726071,0.05415820478377665,-0.12646844359153125,0.0330183868729582,0.68,1.109029245219822,0.015703517587939697,1.2663316582914574,6.25,4,1592,25
S2_Bollinger,Contrarian,RTKM,-0.29593943210132306,-0.020805916199304483,0.07030464325612752,-0.14339744520976588,-0.14509265607116636,0.48936170212765956,0.7635441759773444,0.029485570890840654,2.213299874529486,6.714285714285714,7,1594,47
S2_Bollinger,Contrarian,SBER,0.43348403941312985,0.033760132163828636,0.07788091162372349,-0.09624862753369486,0.35075962150223744,0.5106382978723404,1.5739903564105822,0.029485570890840654,2.5294855708908406,5.875,8,1594,47
S2_Bollinger,Contrarian,TATN,-0.5899104208132031,-0.03972070391422207,0.06733345015242534,-0.32233363358691175,-0.12322854265070685,0.45555555555555555,0.666983258046979,0.056532663316582916,2.849246231155779,10.0,9,1592,90
S2_Bollinger,Contrarian,VTBR,0.38234437524289616,0.02559119997563117,0.06693233020460564,-0.08335308298807803,0.3070216368516504,0.5303030303030303,1.3806594273138544,0.04150943396226415,2.218867924528302,9.428571428571429,7,1590,66
S3_Donchian,Trend,AFLT,0.21090684783722383,0.06624562567072066,0.3140989794786014,-0.5268962638212711,0.1257280231791355,0.4806451612903226,1.0748052988482457,0.3889585947302384,9.959849435382685,20.0,31,1594,620
S3_Donchian,Trend,ALRS,0.022438178425594715,0.004987137939335068,0.2222612658096325,-0.4453435586220995,0.01119840591107988,0.4843373493975904,1.0086197766508942,0.2603513174404015,10.27603513174404,12.575757575757576,33,1594,415
S3_Donchian,Trend,HYDR,-0.4318000823284688,-0.08094138525176371,0.1874510648893112,-0.8657420576529344,-0.09349365037341427,0.46208530805687204,0.8547967566558295,0.26474278544542035,8.537013801756588,15.071428571428571,28,1594,422
S3_Donchian,Trend,IRAO,-0.1002860587908555,-0.018605935693967245,0.18552863596693475,-0.5524504920023763,-0.03367891958341711,0.49873417721518987,0.9570016609006906,0.24811557788944724,7.756281407035176,15.8,25,1592,395
S3_Donchian,Trend,LKOH,0.09576965116238118,0.018993904523017857,0.19832905615175475,-0.3136656929738987,0.06055461259704424,0.4988662131519274,1.0405625592432737,0.2766624843161857,8.37892095357591,16.333333333333332,27,1594,441
