,META-A_strat,META-A_exposure,META-A_mmf,META-A_total,META-B_strat,META-B_exposure,META-B_mmf,META-B_total,META-D_strat,META-D_exposure,META-D_mmf,META-D_total,META-BEST_strat,META-BEST_exposure,META-BEST_mmf,META-BEST_total
2022-01-25,-0.001638550168853059,0.1655773420479303,0.0001600262631688901,-0.001478523905684169,-3.9215686274962636e-06,0.0,0.00019178082191780824,0.00018785925329031197,-0.00026523344750128963,0.11328976034858387,0.00017005401856328532,-9.517942893800432e-05,0.0001364509708152717,0.013071895424836602,0.00018927388306920945,0.00032572485388448113
2022-01-26,-0.0012885716726586116,0.14379084967320263,0.00016420449458322143,-0.0011243671780753902,-0.00020933318785310018,0.017429193899782133,0.00018843823678634316,-2.0894951066757013e-05,-0.0007120676700316242,0.10675381263616558,0.0001713074879875847,-0.0005407601820440395,0.0002436054413297306,0.028322440087145972,0.0001863491210791775,0.0004299545624089081
2022-01-27,0.00039966102994548613,0.11764705882352941,0.00016921837228041904,0.0005688794022259051,-7.753116948228111e-05,0.007625272331154685,0.00019031844092279226,0.00011278727144051114,-0.00016747368938829776,0.07625272331154684,0.00017715701196764858,9.683322579350813e-06,0.00023691898228728192,0.017429193899782133,0.00018843823678634316,0.0004253572190736251
2022-01-28,0.0008953576279651099,0.10893246187363835,0.00017088966484615157,0.0010662472928112616,0.00020705263696507714,0.007625272331154685,0.00019031844092279226,0.0003973710778878694,0.0006500455047493414,0.07625272331154684,0.00017715701196764858,0.00082720251671699,0.0005116722675397867,0.017429193899782137,0.00018843823678634316,0.0007001105043261298
2022-01-31,-0.0002881035277622068,0.09368191721132897,0.0001738144268361835,-0.00011428910092602332,-0.0001358176959999069,0.004357298474945533,0.00019094517563494198,5.512747963503509e-05,-0.0001733210940187968,0.06535947712418301,0.00017924612767481423,5.925033656017421e-06,0.00014919089627518645,0.00980392156862745,0.00018990061778135914,0.0003390915140565456
2022-02-01,0.0008944657253544541,0.0860566448801743,0.00017527680783119946,0.0010697425331856537,0.00023492944412351058,0.01198257080610022,0.000189482794639926,0.0004244122387634366,0.0008669448353058051,0.0664488017429194,0.00017903721610409767,0.0010459820514099028,0.0003726191330699624,0.01525054466230937,0.0001888560599277763,0.0005614751929977387
2022-02-02,-0.0006279837161009549,0.0925925925925926,0.00017402333840690006,-0.00045396037769405485,2.1362942898450754e-05,0.013071895424836602,0.00018927388306920945,0.0002106368259676602,-0.0006009451580860636,0.0664488017429194,0.00017903721610409767,-0.00042190794198196597,2.1362942898450754e-05,0.013071895424836602,0.00018927388306920945,0.0002106368259676602
2022-02-03,-0.000523825472607764,0.11002178649237473,0.00017068075327543501,-0.000353144719332329,0.00025777026768025735,0.05446623093681917,0.0001813352433819799,0.00043910551106223725,0.00014195062220423438,0.08932461873638345,0.00017465007311904976,0.00031660069532328414,0.000225089128546907,0.053376906318082784,0.00018154415495269646,0.00040663328349960345
2022-02-04,-0.0003198603458114402,0.09694989106753812,0.0001731876921240338,-0.00014667265368740638,-5.735450429467104e-05,0.013071895424836602,0.00018927388306920945,0.0001319193787745384,-0.00025077992102684465,0.08496732026143791,0.00017548571940191604,-7.529420162492861e-05,3.9078329884700835e-05,0.013071895424836602,0.00018927388306920945,0.00022835221295391028
2022-02-07,-2.304516782813959e-05,0.0925925925925926,0.00017402333840690006,0.00015097817057876047,-7.131193968112903e-05,0.02396514161220044,0.00018718476736204377,0.00011587282768091474,0.0002181114660295691,0.09041394335511982,0.0001744411615483332,0.0003925526275779023,7.496034997322987e-05,0.017429193899782137,0.00018843823678634316,0.00026339858675957303
