2026-02-06 14:14:35 | INFO     | train_classical | Saved predictions to /Users/nilysenok/Desktop/MOEX_ISS/moex_volatility/data/predictions/test_2019/classical_h22.parquet
2026-02-06 14:14:35 | INFO     | train_classical | 
Horizon 22 Summary:
2026-02-06 14:14:35 | INFO     | train_classical |   AFLT: RMSE=0.000372, R²=-2.9417
2026-02-06 14:14:35 | INFO     | train_classical |   ALRS: RMSE=0.000221, R²=-0.0173
2026-02-06 14:14:35 | INFO     | train_classical |   HYDR: RMSE=0.000385, R²=-0.0478
2026-02-06 14:14:35 | INFO     | train_classical |   IRAO: RMSE=0.000669, R²=-0.0175
2026-02-06 14:14:35 | INFO     | train_classical |   LKOH: RMSE=0.000167, R²=-0.0755
2026-02-06 14:14:35 | INFO     | train_classical | 
======================================================================
2026-02-06 14:14:35 | INFO     | train_classical | Classical model training complete!
2026-02-06 14:14:35 | INFO     | train_classical | ======================================================================
2026-02-06 14:32:01 | INFO     | train_classical | ======================================================================
2026-02-06 14:32:01 | INFO     | train_classical | Training Classical Models (HAR, GARCH-GJR)
2026-02-06 14:32:01 | INFO     | train_classical | Started: 2026-02-06 14:32:01.335057
2026-02-06 14:32:01 | INFO     | train_classical | ======================================================================
2026-02-06 14:32:01 | INFO     | train_classical | Loading features from /Users/nilysenok/Desktop/MOEX_ISS/moex_volatility/data/features/features_all.parquet
2026-02-06 14:32:01 | INFO     | train_classical | Loaded 50906 rows, 17 tickers
2026-02-06 14:32:01 | INFO     | train_classical | 
==================================================
2026-02-06 14:32:01 | INFO     | train_classical | Horizon: 1 days
2026-02-06 14:32:01 | INFO     | train_classical | ==================================================
2026-02-06 14:32:01 | INFO     | train_classical | 
--- Training HAR models ---
2026-02-06 14:32:01 | INFO     | train_classical | HAR: Trained 17/17 tickers
2026-02-06 14:32:01 | INFO     | train_classical | 
--- Training GARCH-GJR models ---
2026-02-06 14:32:01 | INFO     | train_classical | GARCH: Trained 0/17 tickers
2026-02-06 14:32:01 | INFO     | train_classical | Saved HAR predictions: /Users/nilysenok/Desktop/MOEX_ISS/moex_volatility/data/predictions/test_2019/har_h1.parquet
2026-02-06 14:32:01 | INFO     | train_classical | 
--- Horizon 1 Summary ---
2026-02-06 14:32:01 | INFO     | train_classical | 
HAR Results (top 5):
2026-02-06 14:32:01 | INFO     | train_classical |   AFLT: RMSE=0.000171, R²=-0.0508, QLIKE=-7.6845
2026-02-06 14:32:01 | INFO     | train_classical |   ALRS: RMSE=0.000214, R²=0.0115, QLIKE=-7.6741
2026-02-06 14:32:01 | INFO     | train_classical |   HYDR: RMSE=0.000207, R²=0.0247, QLIKE=-7.8187
2026-02-06 14:32:01 | INFO     | train_classical |   IRAO: RMSE=0.000621, R²=0.0415, QLIKE=-7.1204
2026-02-06 14:32:01 | INFO     | train_classical |   LKOH: RMSE=0.000162, R²=-0.1813, QLIKE=-7.8149
2026-02-06 14:32:01 | INFO     | train_classical | 
==================================================
2026-02-06 14:32:01 | INFO     | train_classical | Horizon: 5 days
2026-02-06 14:32:01 | INFO     | train_classical | ==================================================
2026-02-06 14:32:01 | INFO     | train_classical | 
--- Training HAR models ---
2026-02-06 14:32:01 | INFO     | train_classical | HAR: Trained 17/17 tickers
2026-02-06 14:32:01 | INFO     | train_classical | 
--- Training GARCH-GJR models ---
2026-02-06 14:32:02 | INFO     | train_classical | GARCH: Trained 0/17 tickers
2026-02-06 14:32:02 | INFO     | train_classical | Saved HAR predictions: /Users/nilysenok/Desktop/MOEX_ISS/moex_volatility/data/predictions/test_2019/har_h5.parquet
2026-02-06 14:32:02 | INFO     | train_classical | 
--- Horizon 5 Summary ---
2026-02-06 14:32:02 | INFO     | train_classical | 
HAR Results (top 5):
2026-02-06 14:32:02 | INFO     | train_classical |   AFLT: RMSE=0.000341, R²=-3.1536, QLIKE=-7.3144
2026-02-06 14:32:02 | INFO     | train_classical |   ALRS: RMSE=0.000216, R²=-0.0102, QLIKE=-7.6635
2026-02-06 14:32:02 | INFO     | train_classical |   HYDR: RMSE=0.000217, R²=-0.0177, QLIKE=-7.7358
2026-02-06 14:32:02 | INFO     | train_classical |   IRAO: RMSE=0.000637, R²=0.0250, QLIKE=-7.0544
2026-02-06 14:32:02 | INFO     | train_classical |   LKOH: RMSE=0.000151, R²=-0.0287, QLIKE=-7.8468
2026-02-06 14:32:02 | INFO     | train_classical | 
==================================================
2026-02-06 14:32:02 | INFO     | train_classical | Horizon: 22 days
2026-02-06 14:32:02 | INFO     | train_classical | ==================================================
2026-02-06 14:32:02 | INFO     | train_classical | 
--- Training HAR models ---
2026-02-06 14:32:02 | INFO     | train_classical | HAR: Trained 17/17 tickers
2026-02-06 14:32:02 | INFO     | train_classical | 
--- Training GARCH-GJR models ---
