date,META-A_strat,META-A_mmf,META-A_total,META-A_exposure,META-B_strat,META-B_mmf,META-B_total,META-B_exposure,META-C_strat,META-C_mmf,META-C_total,META-C_exposure,META-D_strat,META-D_mmf,META-D_total,META-D_exposure,META-BEST_strat,META-BEST_mmf,META-BEST_total,META-BEST_exposure,META-MEAN(BCD)_strat,META-MEAN(BCD)_mmf,META-MEAN(BCD)_total,META-MEAN(BCD)_exposure,IMOEX,META-D x2,META-D x2 + MMF,META-D x3,META-D x3 + MMF,META-BEST x2,META-BEST x2 + MMF,META-BEST x3,META-BEST x3 + MMF
2025-04-25,-0.0004632123529411766,0.00043996776792908944,-2.3244585012087177e-05,0.17647058823529413,0.0005310725490196079,0.0004975825946817084,0.0010286551437013163,0.06862745098039216,-0.00025246470588235294,0.0004871071716357776,0.00023464246575342467,0.08823529411764706,-0.00010098990196078432,0.0004871071716357776,0.0003861172696749933,0.08823529411764706,0.00026817617647058827,0.0004766317485898469,0.0007448079250604352,0.10784313725490197,5.920598039215689e-05,0.0004905989793177545,0.0005498049597099114,0.08169934640522876,0.020958216021436993,-0.00020197980392156864,0.0002379879640075208,-0.00030296970588235294,8.985865834004839e-05,0.0005363523529411765,0.0009553692747784046,0.0008045285294117647,0.001165930624496374
2025-04-28,0.0036359265686274505,0.0004294923448831588,0.0040654189135106095,0.19607843137254902,0.0015901811764705883,0.000492344883158743,0.0020825260596293313,0.0784313725490196,0.002769344019607843,0.0005028203062046737,0.003272164325812517,0.058823529411764705,0.0030626098039215686,0.00047139403706688155,0.0035340038409884503,0.11764705882352941,0.003260989901960784,0.0004661563255439162,0.0037271462275047,0.12745098039215685,0.002474045,0.000488853075476766,0.0029628980754767657,0.0849673202614379,0.009367494527866338,0.006125219607843137,0.006533761106634435,0.009187829411764705,0.009533518372280418,0.006521979803921568,0.0069200458796669344,0.009782969705882352,0.01011294553182917
2025-04-29,-0.0002658306862745097,0.00045044319097502016,0.00018461250470051046,0.1568627450980392,-0.00024897686274509806,0.0005185334407735697,0.00026955657802847166,0.029411764705882353,-0.00037656931372549024,0.000492344883158743,0.00011577556943325276,0.0784313725490196,-0.00020808539215686275,0.000492344883158743,0.00028425949100188024,0.0784313725490196,-0.00018694196078431372,0.0004871071716357776,0.0003001652108514639,0.08823529411764706,-0.00027787718954248365,0.0005010744023636852,0.0002231972128212016,0.06209150326797386,-0.025257884849883117,-0.0004161707843137255,3.427240666129466e-05,-0.0006242561764705883,-0.00021571467767929093,-0.00037388392156862744,6.6083846360462e-05,-0.0005608258823529412,-0.00016799751813053985
2025-04-30,0.0019871977450980397,0.0004661563255439162,0.002453354070641956,0.12745098039215685,0.0004234158823529412,0.0005185334407735697,0.0009419493231265109,0.029411764705882353,0.0005811731372549019,0.0004975825946817084,0.0010787557319366103,0.06862745098039216,0.0008287663725490197,0.0004871071716357776,0.0013158735441847974,0.08823529411764706,0.0011535501960784316,0.0004818694601128123,0.0016354196561912439,0.09803921568627451,0.0006111184640522875,0.0005010744023636852,0.0011121928664159727,0.06209150326797386,-0.013250339795649269,0.0016575327450980394,0.002097500513027129,0.002486299117647059,0.0028791274818694606,0.0023071003921568633,0.0027365927370400223,0.0034606505882352947,0.0038377658178888
2025-05-02,-0.00019193617647058822,0.0004661563255439162,0.000274220149073328,0.12745098039215685,-8.768735294117648e-05,0.000523771152296535,0.0004360837993553585,0.0196078431372549,-6.435235294117647e-05,0.0005028203062046737,0.0004384679532634972,0.058823529411764705,-0.00012625401960784311,0.0004871071716357776,0.00036085315202793447,0.08823529411764706,-0.00017191980392156862,0.0004818694601128123,0.00030994965619124366,0.09803921568627451,-9.276457516339869e-05,0.0005045662100456621,0.0004118016348822634,0.05555555555555556,-0.028018105377132563,-0.00025250803921568623,0.00018745972871340321,-0.0003787620588235293,1.4066305398872014e-05,-0.00034383960784313723,8.565273704002154e-05,-0.0005157594117647058,-0.00013864418211120063
2025-05-05,0.0006594775490196079,0.0004137792103142627,0.0010732567593338706,0.22549019607843138,0.000632633431372549,0.0004975825946817084,0.0011302160260542574,0.06862745098039216,0.0008440816666666664,0.00047139403706688155,0.001315475703733548,0.11764705882352941,0.0008521681372549018,0.00043996776792908944,0.0012921359051839914,0.17647058823529413,0.0009532502941176469,0.00043996776792908944,0.0013932180620467363,0.17647058823529413,0.0007762944117647058,0.0004696481332258931,0.001245942544990599,0.12091503267973858,-0.034511932879754514,0.0017043362745098036,0.002050025235025517,0.0025565044117647055,0.0028079145648670424,0.0019065005882352938,0.002252189548751007,0.0028597508823529406,0.0031111610354552775
2025-05-06,9.423382352941169e-05,0.000403303787268332,0.0004975376107977437,0.24509803921568626,0.0012762969607843138,0.0004871071716357776,0.0017634041324200915,0.08823529411764706,0.0014892828431372549,0.0004661563255439162,0.0019554391686811712,0.12745098039215685,8.434833333333337e-05,0.0004137792103142627,0.0004981275436475961,0.22549019607843138,6.013450980392169e-05,0.00041901692183722805,0.0004791514316411497,0.21568627450980393,0.0009499760457516339,0.0004556809024979855,0.0014056569482496194,0.14705882352941177,0.014363955016795549,0.00016869666666666675,0.0004620085119527264,0.00025304500000000014,0.0004258894802578567,0.00012026901960784338,0.0004240562879398337,0.00018040352941176506,0.0003689611442385177
2025-05-07,-0.00016390715686274513,0.0004294923448831588,0.0002655851880204136,0.19607843137254902,0.00021231843137254898,0.0005028203062046737,0.0007151387375772226,0.058823529411764705,9.905852941176466e-05,0.0004766317485898469,0.0005756902780016115,0.10784313725490197,-0.00023817107843137256,0.00043996776792908944,0.0002017966894977169,0.17647058823529413,-0.0003335624509803922,0.00044520547945205483,0.00011164302847166261,0.16666666666666666,2.4401960784313693e-05,0.00047313994090787,0.0004975419016921837,0.11437908496732026,0.01977942076353245,-0.0004763421568627451,-0.000130653196347032,-0.0007145132352941177,-0.00046310308219178086,-0.0006671249019607844,-0.00031096051839914055,-0.0010006873529411766,-0.0007335640652699437
2025-05-08,-1.4315490196078427e-05,0.0004294923448831588,0.00041517685468708034,0.19607843137254902,-0.00012898549019607844,0.0005028203062046737,0.0003738348160085952,0.058823529411764705,-0.00014405,0.0004871071716357776,0.0003430571716357776,0.08823529411764706,-1.4527058823529418e-05,0.00043996776792908944,0.00042544070910556004,0.17647058823529413,-6.288186274509804e-05,0.00044520547945205483,0.0003823236167069568,0.16666666666666666,-9.585418300653592e-05,0.0004766317485898469,0.000380777565583311,0.10784313725490197,0.006297011390389962,-2.9054117647058836e-05,0.00031663484286865426,-4.358117647058825e-05,0.00020782897663174858,-0.00012576372549019608,0.0002304006580714478,-0.0001886455882352941,7.847769943593877e-05
2025-05-12,4.578499999999993e-05,0.00047139403706688155,0.0005171790370668815,0.11764705882352941,-0.0001944692156862745,0.000523771152296535,0.00032930193661026054,0.0196078431372549,-0.0003324098039215687,0.000523771152296535,0.00019136134837496633,0.0196078431372549,-1.304656862745108e-05,0.0004766317485898469,0.0004635851799623958,0.10784313725490197,-1.304656862745108e-05,0.0004766317485898469,0.0004635851799623958,0.10784313725490197,-0.00017997519607843146,0.0005080580177276389,0.0003280828216492075,0.049019607843137254,0.02779443900762213,-2.609313725490216e-05,0.0003929237845823259,-3.913970588235324e-05,0.00032226238920225595,-2.609313725490216e-05,0.0003929237845823259,-3.913970588235324e-05,0.00032226238920225595
2025-05-13,0.0003749327450980392,0.00047139403706688155,0.0008463267821649208,0.11764705882352941,-1.0886078431372571e-05,0.000523771152296535,0.0005128850738651624,0.0196078431372549,0.00013755794117647056,0.0005185334407735697,0.0006560913819500403,0.029411764705882353,0.00019613588235294118,0.0004766317485898469,0.000672767630942788,0.10784313725490197,0.00019613588235294118,0.0004766317485898469,0.000672767630942788,0.10784313725490197,0.0001076025816993464,0.0005063121138866505,0.0006139146955859969,0.05228758169934641,0.0018292454021440196,0.00039227176470588236,0.0008112886865431104,0.0005884076470588235,0.0009498097421434327,0.00039227176470588236,0.0008112886865431104,0.0005884076470588235,0.0009498097421434327
2025-05-14,2.6516862745098037e-05,0.0004766317485898469,0.0005031486113349449,0.10784313725490197,0.00011169666666666668,0.000523771152296535,0.0006354678189632016,0.0196078431372549,9.110794117647057e-05,0.0005080580177276389,0.0005991659589041096,0.049019607843137254,5.41613725490196e-05,0.0004818694601128123,0.0005360308326618319,0.09803921568627451,5.41613725490196e-05,0.0004818694601128123,0.0005360308326618319,0.09803921568627451,8.565532679738561e-05,0.0005045662100456621,0.0005902215368430477,0.05555555555555556,-0.003856203138785874,0.0001083227450980392,0.0005378150899811979,0.0001624841176470588,0.000539599347300564,0.0001083227450980392,0.0005378150899811979,0.0001624841176470588,0.000539599347300564
