ticker,interval,first_date,last_date
OKEY,24,2020-12-14 00:00:00,2026-02-04 17:10:58
OMZZP,24,2014-06-09 00:00:00,2026-02-04 17:10:58
OZON,24,2020-11-24 00:00:00,2026-02-04 17:10:58
OZPH,24,2024-10-17 00:00:00,2026-02-04 17:10:58
PAZA,24,2014-06-17 00:00:00,2026-02-04 17:10:58
PHOR,24,2013-02-28 00:00:00,2026-02-04 17:10:58
PIKK,24,2011-09-07 00:00:00,2026-02-04 17:11:04
PLZL,24,2014-06-09 00:00:00,2026-02-04 17:11:04
PMSB,24,2014-06-10 00:00:00,2026-02-04 17:11:04
PMSBP,24,2014-06-09 00:00:00,2026-02-04 17:11:04
POSI,24,2021-12-17 00:00:00,2026-02-04 17:11:04
PRFN,24,2014-06-11 00:00:00,2026-02-04 17:11:08
PRMB,24,2014-06-24 00:00:00,2026-02-04 17:11:08
PRMD,24,2024-07-12 00:00:00,2026-02-04 17:11:08
RAGR,24,2025-02-17 00:00:00,2026-02-04 17:11:08
RASP,24,2014-06-09 00:00:00,2026-02-04 17:11:08
RBCM,24,2014-06-09 00:00:00,2026-02-04 17:11:08
RDRB,24,2014-12-11 00:00:00,2026-02-04 17:11:08
RENI,24,2021-10-21 00:00:00,2026-02-04 17:11:08
RGSS,24,2013-12-26 00:00:00,2026-02-04 17:11:08
RKKE,24,2014-06-10 00:00:00,2026-02-04 17:11:08
RNFT,24,2016-11-25 00:00:00,2026-02-04 17:11:08
ROLO,24,2014-06-10 00:00:00,2026-02-04 17:11:08
ROSN,24,2014-06-09 00:00:00,2026-02-04 17:11:13
ROST,24,2011-01-27 00:00:00,2026-02-04 17:11:13
RTGZ,24,2014-07-02 00:00:00,2026-02-04 17:11:13
RTKM,24,2003-10-01 00:00:00,2026-02-04 17:11:13
RTKMP,24,2003-10-01 00:00:00,2026-02-04 17:11:13
RTSB,24,2014-06-24 00:00:00,2026-02-04 17:11:13
RTSBP,24,2014-06-09 00:00:00,2026-02-04 17:11:13
RUAL,24,2015-03-30 00:00:00,2026-02-04 17:11:13
RUSI,24,2014-06-09 00:00:00,2026-02-04 17:11:13
RZSB,24,2014-06-10 00:00:00,2026-02-04 17:11:13
SAGO,24,2003-07-21 00:00:00,2026-02-04 17:11:13
SAGOP,24,2003-07-21 00:00:00,2026-02-04 17:11:13
SARE,24,2014-06-09 00:00:00,2026-02-04 17:11:13
SAREP,24,2014-06-09 00:00:00,2026-02-04 17:11:18
SBER,24,2007-07-20 00:00:00,2026-02-04 17:11:18
SBERP,24,2007-07-20 00:00:00,2026-02-04 17:11:18
SELG,24,2011-12-06 00:00:00,2026-02-04 17:11:18
SFIN,24,2018-01-03 00:00:00,2026-02-04 17:11:18
SGZH,24,2021-04-28 00:00:00,2026-02-04 17:11:18
SIBN,24,2003-07-10 00:00:00,2026-02-04 17:11:18
SLEN,24,2017-02-06 00:00:00,2026-02-04 17:11:18
SMLT,24,2020-10-29 00:00:00,2026-02-04 17:11:18
SNGS,24,2014-06-09 00:00:00,2026-02-04 17:11:18
SNGSP,24,2014-06-09 00:00:00,2026-02-04 17:11:18
SOFL,24,2023-09-25 00:00:00,2026-02-04 17:11:18
SPBE,24,2021-11-19 00:00:00,2026-02-04 17:11:23
STSB,24,2014-06-11 00:00:00,2026-02-04 17:11:23
STSBP,24,2014-06-11 00:00:00,2026-02-04 17:11:23
SVAV,24,2014-06-09 00:00:00,2026-02-04 17:11:23
SVCB,24,2023-12-15 00:00:00,2026-02-04 17:11:23
SVET,24,2021-01-18 00:00:00,2026-02-04 17:11:23
SVETP,24,2024-05-27 00:00:00,2026-02-04 17:11:23
T,24,2019-10-28 00:00:00,2026-02-04 17:11:23
TASB,24,2014-06-09 00:00:00,2026-02-04 17:11:23
TASBP,24,2014-06-19 00:00:00,2026-02-04 17:11:23
TATN,24,2002-01-04 00:00:00,2026-02-04 17:11:23
TATNP,24,2002-01-04 00:00:00,2026-02-04 17:11:23
TGKA,24,2009-07-21 00:00:00,2026-02-04 17:11:23
TGKB,24,2014-06-09 00:00:00,2026-02-04 17:11:28
TGKBP,24,2014-06-09 00:00:00,2026-02-04 17:11:28
TGKN,24,2014-06-09 00:00:00,2026-02-04 17:11:28
TNSE,24,2015-06-17 00:00:00,2026-02-04 17:11:28
TORS,24,2014-06-09 00:00:00,2026-02-04 17:11:28
TORSP,24,2014-06-10 00:00:00,2026-02-04 17:11:28
TRMK,24,2009-07-14 00:00:00,2026-02-04 17:11:28
TRNFP,24,2013-12-16 00:00:00,2026-02-04 17:11:28
TTLK,24,2014-06-09 00:00:00,2026-02-04 17:11:34
TUZA,24,2014-06-09 00:00:00,2026-02-04 17:11:34
UGLD,24,2023-11-22 00:00:00,2026-02-04 17:11:34
UKUZ,24,2014-06-09 00:00:00,2026-02-04 17:11:34
UNAC,24,2014-06-09 00:00:00,2026-02-04 17:11:34
UNKL,24,2014-06-11 00:00:00,2026-02-04 17:11:34
UPRO,24,2016-07-01 00:00:00,2026-02-04 17:11:34
URKZ,24,2014-06-10 00:00:00,2026-02-04 17:11:34
USBN,24,2014-06-09 00:00:00,2026-02-04 17:11:34
UTAR,24,2012-02-27 00:00:00,2026-02-04 17:11:34
UWGN,24,2015-04-30 00:00:00,2026-02-04 17:11:34
VEON-RX,24,2021-11-26 00:00:00,2026-02-04 17:11:34
VGSB,24,2014-06-09 00:00:00,2026-02-04 17:11:34
VGSBP,24,2014-06-09 00:00:00,2026-02-04 17:11:34
VJGZ,24,2014-06-17 00:00:00,2026-02-04 17:11:34
VJGZP,24,2014-06-20 00:00:00,2026-02-04 17:11:34
VKCO,24,2021-12-14 00:00:00,2026-02-04 17:11:38
VLHZ,24,2014-06-10 00:00:00,2026-02-04 17:11:38
VRSB,24,2014-06-18 00:00:00,2026-02-04 17:11:38
VRSBP,24,2014-07-15 00:00:00,2026-02-04 17:11:38
VSEH,24,2024-07-05 00:00:00,2026-02-04 17:11:38
VSMO,24,2014-06-09 00:00:00,2026-02-04 17:11:38
VSYD,24,2014-11-11 00:00:00,2026-02-04 17:11:38
VSYDP,24,2014-07-16 00:00:00,2026-02-04 17:11:38
VTBR,24,2013-02-28 00:00:00,2026-02-04 17:11:38
WTCM,24,2014-06-09 00:00:00,2026-02-04 17:11:38
WTCMP,24,2014-06-09 00:00:00,2026-02-04 17:11:38
WUSH,24,2022-12-14 00:00:00,2026-02-04 17:11:43
X5,24,2025-01-09 00:00:00,2026-02-04 17:11:43
YAKG,24,2014-06-16 00:00:00,2026-02-04 17:11:43
YDEX,24,2024-07-24 00:00:00,2026-02-04 17:11:43
YKEN,24,2005-01-11 00:00:00,2026-02-04 17:11:43
YKENP,24,2014-06-19 00:00:00,2026-02-04 17:11:43
YRSB,24,2014-06-18 00:00:00,2026-02-04 17:11:43
YRSBP,24,2014-06-16 00:00:00,2026-02-04 17:11:43
ZAYM,24,2024-04-12 00:00:00,2026-02-04 17:11:43
ZILL,24,2014-06-09 00:00:00,2026-02-04 17:11:43
ZVEZ,24,2014-07-17 00:00:00,2026-02-04 17:11:43
