sharpe,ann_ret_pct,max_dd_pct,exposure_pct,n_trades,year,approach,strategy,timeframe,ticker,sigma_variant
-1.0513,-0.36,-0.45,0.32,1,2025,C,S5_PivotPoints,daily,LSRG,daily
-1.7243,-5.01,-4.61,2.16,2,2022,D,S5_PivotPoints,daily,LSRG,daily
0.7284,12.18,-5.45,3.54,4,2023,D,S5_PivotPoints,daily,LSRG,daily
-0.3611,-2.74,-6.84,1.17,1,2024,D,S5_PivotPoints,daily,LSRG,daily
-1.244,-23.52,-31.45,8.39,9,2025,D,S5_PivotPoints,daily,LSRG,daily
0.0,0.0,0.0,0.0,0,2022,E,S5_PivotPoints,daily,LSRG,daily
0.9494,5.15,-0.85,2.36,3,2023,E,S5_PivotPoints,daily,LSRG,daily
0.0,0.0,0.0,0.0,0,2024,E,S5_PivotPoints,daily,LSRG,daily
0.0,0.0,0.0,0.0,0,2025,E,S5_PivotPoints,daily,LSRG,daily
0.0,0.0,0.0,0.0,0,2022,F,S5_PivotPoints,daily,LSRG,daily
0.9479,15.32,-2.56,2.36,3,2023,F,S5_PivotPoints,daily,LSRG,daily
0.0,0.0,0.0,0.0,0,2024,F,S5_PivotPoints,daily,LSRG,daily
-1.0513,-0.71,-0.88,0.32,1,2025,F,S5_PivotPoints,daily,LSRG,daily
0.0,0.0,0.0,0.0,0,2022,G,S5_PivotPoints,daily,LSRG,daily
0.9479,15.32,-2.56,2.36,3,2023,G,S5_PivotPoints,daily,LSRG,daily
0.0,0.0,0.0,0.0,0,2024,G,S5_PivotPoints,daily,LSRG,daily
0.0,0.0,0.0,0.0,0,2025,G,S5_PivotPoints,daily,LSRG,daily
-1.6207,-2.04,-2.03,1.2,1,2020,A,S6_VWAP,daily,LSRG,daily
-1.4878,-6.72,-6.8,4.71,3,2021,A,S6_VWAP,daily,LSRG,daily
0.0353,0.07,-1.24,1.29,1,2022,A,S6_VWAP,daily,LSRG,daily
0.7481,4.23,-2.1,4.33,2,2023,A,S6_VWAP,daily,LSRG,daily
-0.2053,-0.37,-1.65,1.95,1,2024,A,S6_VWAP,daily,LSRG,daily
-0.2061,-1.65,-7.47,5.16,4,2025,A,S6_VWAP,daily,LSRG,daily
0.6986,3.03,-1.23,1.29,1,2022,B,S6_VWAP,daily,LSRG,daily
0.8198,4.52,-1.81,2.76,2,2023,B,S6_VWAP,daily,LSRG,daily
-1.1067,-2.37,-2.41,0.78,1,2024,B,S6_VWAP,daily,LSRG,daily
-0.1133,-0.91,-7.47,4.84,5,2025,B,S6_VWAP,daily,LSRG,daily
0.0,0.0,0.0,0.0,0,2022,C,S6_VWAP,daily,LSRG,daily
1.0021,5.43,-0.85,1.97,2,2023,C,S6_VWAP,daily,LSRG,daily
-0.4172,-0.73,-1.65,1.56,1,2024,C,S6_VWAP,daily,LSRG,daily
-0.6556,-0.73,-1.3,0.65,2,2025,C,S6_VWAP,daily,LSRG,daily
