strategy,timeframe,approach,ticker,sharpe_median
S4_Supertrend,daily,D,HYDR,-0.0337
S4_Supertrend,daily,D,PHOR,0.0428
S4_Supertrend,daily,D,LSRG,0.1047
S4_Supertrend,daily,D,IRAO,0.1599
S4_Supertrend,daily,E,SBER,-0.0656
S4_Supertrend,daily,E,RTKM,-0.0278
S4_Supertrend,daily,E,OGKB,0.1278
S4_Supertrend,daily,E,IRAO,0.3031
S4_Supertrend,daily,E,PHOR,0.3498
S4_Supertrend,daily,F,IRAO,0.2568
S4_Supertrend,daily,F,PHOR,0.4824
S4_Supertrend,daily,F,OGKB,0.555
S4_Supertrend,daily,F,SBER,0.6431
S4_Supertrend,daily,F,MOEX,0.668
S4_Supertrend,daily,G,SBER,-0.0656
S4_Supertrend,daily,G,RTKM,-0.0278
S4_Supertrend,daily,G,IRAO,0.2568
S4_Supertrend,daily,G,OGKB,0.3095
S4_Supertrend,daily,G,PHOR,0.3498
S4_Supertrend,hourly,A,TATN,-0.5224
S4_Supertrend,hourly,A,RTKM,-0.434
S4_Supertrend,hourly,A,OGKB,-0.4023
S4_Supertrend,hourly,A,LSRG,-0.3827
S4_Supertrend,hourly,A,NVTK,-0.3447
S4_Supertrend,hourly,B,NVTK,-0.3138
S4_Supertrend,hourly,B,RTKM,-0.1432
S4_Supertrend,hourly,B,TATN,0.0228
S4_Supertrend,hourly,B,OGKB,0.1108
S4_Supertrend,hourly,B,IRAO,0.1928
S4_Supertrend,hourly,C,RTKM,0.0
S4_Supertrend,hourly,C,MOEX,0.5196
S4_Supertrend,hourly,C,SBER,0.5456
S4_Supertrend,hourly,C,PHOR,0.7091
S4_Supertrend,hourly,C,NVTK,0.763
S4_Supertrend,hourly,D,TATN,-0.4672
S4_Supertrend,hourly,D,RTKM,-0.4226
S4_Supertrend,hourly,D,LSRG,-0.3827
S4_Supertrend,hourly,D,OGKB,-0.3582
S4_Supertrend,hourly,D,NVTK,-0.3447
S4_Supertrend,hourly,E,ALRS,-0.1462
S4_Supertrend,hourly,E,MOEX,0.0
S4_Supertrend,hourly,E,RTKM,0.0
S4_Supertrend,hourly,E,NVTK,0.4086
S4_Supertrend,hourly,E,IRAO,0.4178
S4_Supertrend,hourly,F,RTKM,0.0
S4_Supertrend,hourly,F,MOEX,0.5196
S4_Supertrend,hourly,F,SBER,0.5229
S4_Supertrend,hourly,F,NVTK,0.763
S4_Supertrend,hourly,F,PHOR,0.8643
S4_Supertrend,hourly,G,ALRS,-0.1462
S4_Supertrend,hourly,G,MOEX,0.0
S4_Supertrend,hourly,G,RTKM,0.0
S4_Supertrend,hourly,G,NVTK,0.4086
S4_Supertrend,hourly,G,IRAO,0.4236
S5_PivotPoints,daily,A,IRAO,-1.3228
S5_PivotPoints,daily,A,MOEX,-1.1211
S5_PivotPoints,daily,A,OGKB,-1.033
S5_PivotPoints,daily,A,SBER,-0.8112
S5_PivotPoints,daily,A,LSRG,-0.7968
S5_PivotPoints,daily,B,IRAO,-1.2493
S5_PivotPoints,daily,B,OGKB,-0.9802
S5_PivotPoints,daily,B,PHOR,-0.6891
S5_PivotPoints,daily,B,RTKM,-0.5672
S5_PivotPoints,daily,B,MOEX,-0.4435
S5_PivotPoints,daily,C,AFLT,0.0
S5_PivotPoints,daily,C,LSRG,0.0
S5_PivotPoints,daily,C,OGKB,0.0
S5_PivotPoints,daily,C,SBER,0.0
S5_PivotPoints,daily,C,TATN,0.081
S5_PivotPoints,daily,D,IRAO,-1.3219
S5_PivotPoints,daily,D,MOEX,-1.1555
S5_PivotPoints,daily,D,OGKB,-1.0545
S5_PivotPoints,daily,D,LSRG,-0.8025
S5_PivotPoints,daily,D,SBER,-0.7853
S5_PivotPoints,daily,E,AFLT,0.0
S5_PivotPoints,daily,E,LSRG,0.0
S5_PivotPoints,daily,E,OGKB,0.0
S5_PivotPoints,daily,E,SBER,0.0
S5_PivotPoints,daily,E,TATN,0.081
S5_PivotPoints,daily,F,AFLT,0.0
S5_PivotPoints,daily,F,LSRG,0.0
S5_PivotPoints,daily,F,OGKB,0.0
S5_PivotPoints,daily,F,SBER,0.0
S5_PivotPoints,daily,F,TATN,0.0736
S5_PivotPoints,daily,G,AFLT,0.0
S5_PivotPoints,daily,G,LSRG,0.0
S5_PivotPoints,daily,G,OGKB,0.0
S5_PivotPoints,daily,G,SBER,0.0
S5_PivotPoints,daily,G,TATN,0.0736
S5_PivotPoints,hourly,A,MTLR,-1.9442
S5_PivotPoints,hourly,A,LKOH,-1.9006
S5_PivotPoints,hourly,A,MOEX,-1.8975
S5_PivotPoints,hourly,A,SBER,-1.8714
S5_PivotPoints,hourly,A,ALRS,-1.8021
S5_PivotPoints,hourly,B,ALRS,-1.6509
S5_PivotPoints,hourly,B,MTLR,-1.6319
S5_PivotPoints,hourly,B,MOEX,-1.4459
S5_PivotPoints,hourly,B,SBER,-1.284
S5_PivotPoints,hourly,B,LKOH,-1.0986
S5_PivotPoints,hourly,C,AFLT,-0.8735
S5_PivotPoints,hourly,C,MTLR,-0.6396
S5_PivotPoints,hourly,C,TATN,-0.4839
S5_PivotPoints,hourly,C,MGNT,-0.4699
S5_PivotPoints,hourly,C,SBER,-0.4469
S5_PivotPoints,hourly,D,MTLR,-1.9449
S5_PivotPoints,hourly,D,LKOH,-1.9006
S5_PivotPoints,hourly,D,SBER,-1.7978
S5_PivotPoints,hourly,D,ALRS,-1.7956
S5_PivotPoints,hourly,D,MOEX,-1.6927
S5_PivotPoints,hourly,E,AFLT,-0.713
S5_PivotPoints,hourly,E,SBER,-0.3196
S5_PivotPoints,hourly,E,TATN,-0.1854
S5_PivotPoints,hourly,E,MGNT,-0.0092
S5_PivotPoints,hourly,E,NVTK,0.0
S5_PivotPoints,hourly,F,AFLT,-0.8416
S5_PivotPoints,hourly,F,MTLR,-0.6369
S5_PivotPoints,hourly,F,TATN,-0.5717
S5_PivotPoints,hourly,F,MGNT,-0.4896
S5_PivotPoints,hourly,F,SBER,-0.3413
S5_PivotPoints,hourly,G,AFLT,-0.7115
S5_PivotPoints,hourly,G,SBER,-0.2145
S5_PivotPoints,hourly,G,MGNT,-0.0196
S5_PivotPoints,hourly,G,TATN,-0.0111
S5_PivotPoints,hourly,G,NVTK,0.0
S6_VWAP,daily,A,MTSS,-0.2306
S6_VWAP,daily,A,IRAO,-0.1805
S6_VWAP,daily,A,AFLT,-0.1263
S6_VWAP,daily,A,LKOH,-0.0915
S6_VWAP,daily,A,LSRG,-0.085
S6_VWAP,daily,B,AFLT,-0.1263
S6_VWAP,daily,B,TATN,-0.0306
S6_VWAP,daily,B,OGKB,0.0
S6_VWAP,daily,B,MTSS,0.0196
S6_VWAP,daily,B,MGNT,0.1295
S6_VWAP,daily,C,LSRG,-0.2086
S6_VWAP,daily,C,AFLT,0.0
S6_VWAP,daily,C,NVTK,0.0
S6_VWAP,daily,C,OGKB,0.0
S6_VWAP,daily,C,SBER,0.0
S6_VWAP,daily,D,IRAO,-0.2256
S6_VWAP,daily,D,LKOH,-0.159
S6_VWAP,daily,D,MTSS,-0.1537
S6_VWAP,daily,D,MGNT,-0.0654
S6_VWAP,daily,D,AFLT,-0.0396
S6_VWAP,daily,E,LSRG,-0.3278
S6_VWAP,daily,E,AFLT,0.0
S6_VWAP,daily,E,LKOH,0.0
S6_VWAP,daily,E,NVTK,0.0
S6_VWAP,daily,E,OGKB,0.0
S6_VWAP,daily,F,LSRG,-0.1972
S6_VWAP,daily,F,AFLT,0.0
S6_VWAP,daily,F,NVTK,0.0
S6_VWAP,daily,F,OGKB,0.0
S6_VWAP,daily,F,SBER,0.0
S6_VWAP,daily,G,LSRG,-0.3484
S6_VWAP,daily,G,AFLT,0.0
S6_VWAP,daily,G,LKOH,0.0
