sharpe,ann_ret_pct,ann_vol_pct,max_dd_pct,exposure_pct,n_trades,win_rate_pct,year,approach,strategy,timeframe,ticker,commission
0.0,0.0,0.0,0.0,0.0,0,0.0,2024,B,S2_Bollinger,hourly,MOEX,0bps
0.1516,0.22,1.46,-1.43,0.18,4,50.0,2025,B,S2_Bollinger,hourly,MOEX,0bps
0.3921,1.79,4.56,-3.88,5.0,26,50.0,2022,C,S2_Bollinger,hourly,MOEX,0bps
1.2975,4.3,3.32,-2.27,3.02,16,50.0,2023,C,S2_Bollinger,hourly,MOEX,0bps
0.1745,1.92,11.01,-13.37,15.47,68,44.1,2022,D,S2_Bollinger,hourly,MOEX,0bps
-0.9894,-9.71,9.81,-14.19,13.25,71,39.4,2023,D,S2_Bollinger,hourly,MOEX,0bps
0.0,0.0,0.0,0.0,0.0,0,0.0,2024,D,S2_Bollinger,hourly,MOEX,0bps
-0.3042,-0.64,2.11,-2.8,0.6,4,50.0,2025,D,S2_Bollinger,hourly,MOEX,0bps
0.6657,6.84,10.27,-10.45,22.67,40,40.0,2020,A,S3_Donchian,hourly,MOEX,0bps
0.8722,7.2,8.25,-6.08,9.59,31,54.8,2021,A,S3_Donchian,hourly,MOEX,0bps
1.6511,20.66,12.51,-8.03,8.46,37,43.2,2022,A,S3_Donchian,hourly,MOEX,0bps
2.3414,25.45,10.87,-4.94,27.21,48,47.9,2023,A,S3_Donchian,hourly,MOEX,0bps
0.504,4.21,8.36,-6.78,17.99,36,47.2,2024,A,S3_Donchian,hourly,MOEX,0bps
0.8239,9.88,11.99,-5.14,12.71,44,43.2,2025,A,S3_Donchian,hourly,MOEX,0bps
2.092,27.68,13.23,-5.4,8.22,37,45.9,2022,B,S3_Donchian,hourly,MOEX,0bps
1.8626,17.52,9.41,-4.73,17.02,58,46.6,2023,B,S3_Donchian,hourly,MOEX,0bps
1.7815,10.65,5.98,-3.18,8.26,42,47.6,2024,B,S3_Donchian,hourly,MOEX,0bps
0.5236,5.36,10.24,-5.04,2.8,49,38.8,2025,B,S3_Donchian,hourly,MOEX,0bps
1.7033,21.27,12.49,-8.01,8.12,34,44.1,2022,C,S3_Donchian,hourly,MOEX,0bps
2.9439,26.88,9.13,-5.27,14.74,33,57.6,2023,C,S3_Donchian,hourly,MOEX,0bps
1.9489,6.52,3.35,-1.37,7.82,12,58.3,2024,C,S3_Donchian,hourly,MOEX,0bps
-0.0264,-0.04,1.65,-1.56,1.3,7,57.1,2025,C,S3_Donchian,hourly,MOEX,0bps
1.8191,22.52,12.38,-7.19,8.46,37,43.2,2022,D,S3_Donchian,hourly,MOEX,0bps
2.2768,22.25,9.77,-5.13,27.21,48,47.9,2023,D,S3_Donchian,hourly,MOEX,0bps
0.639,5.19,8.13,-6.52,17.99,36,47.2,2024,D,S3_Donchian,hourly,MOEX,0bps
0.8055,9.26,11.49,-5.06,12.71,44,45.5,2025,D,S3_Donchian,hourly,MOEX,0bps
1.117,11.0,9.85,-4.99,8.09,19,52.6,2020,A,S4_Supertrend,hourly,MOEX,0bps
0.0628,0.31,4.92,-4.95,4.14,17,35.3,2021,A,S4_Supertrend,hourly,MOEX,0bps
0.1551,1.22,7.88,-4.86,3.65,16,25.0,2022,A,S4_Supertrend,hourly,MOEX,0bps
2.5752,20.14,7.82,-2.29,10.76,31,58.1,2023,A,S4_Supertrend,hourly,MOEX,0bps
0.4633,3.36,7.26,-8.06,10.73,25,52.0,2024,A,S4_Supertrend,hourly,MOEX,0bps
-2.4085,-11.19,4.64,-15.1,5.04,33,30.3,2025,A,S4_Supertrend,hourly,MOEX,0bps
0.7106,4.88,6.87,-2.96,2.45,16,31.2,2022,B,S4_Supertrend,hourly,MOEX,0bps
2.5042,12.93,5.16,-2.16,3.59,31,58.1,2023,B,S4_Supertrend,hourly,MOEX,0bps
1.4531,6.62,4.55,-4.39,4.22,25,48.0,2024,B,S4_Supertrend,hourly,MOEX,0bps
-1.8833,-7.86,4.17,-11.26,3.89,33,27.3,2025,B,S4_Supertrend,hourly,MOEX,0bps
-0.0818,-0.59,7.26,-7.1,2.93,11,18.2,2022,C,S4_Supertrend,hourly,MOEX,0bps
2.7021,18.08,6.69,-2.29,8.05,24,58.3,2023,C,S4_Supertrend,hourly,MOEX,0bps
0.5625,4.07,7.23,-8.06,10.52,24,50.0,2024,C,S4_Supertrend,hourly,MOEX,0bps
-2.2176,-7.3,3.29,-10.63,3.01,16,18.8,2025,C,S4_Supertrend,hourly,MOEX,0bps
0.4427,3.72,8.4,-4.33,3.65,16,31.2,2022,D,S4_Supertrend,hourly,MOEX,0bps
2.6234,18.98,7.23,-2.3,10.76,31,58.1,2023,D,S4_Supertrend,hourly,MOEX,0bps
0.4132,2.46,5.96,-7.01,10.73,25,52.0,2024,D,S4_Supertrend,hourly,MOEX,0bps
-2.0758,-8.57,4.13,-12.03,5.04,33,30.3,2025,D,S4_Supertrend,hourly,MOEX,0bps
0.2519,2.32,9.2,-5.55,15.2,8,75.0,2020,A,S1_MeanRev,daily,HYDR,0bps
1.0864,7.82,7.2,-4.21,12.55,7,85.7,2021,A,S1_MeanRev,daily,HYDR,0bps
1.3219,14.04,10.62,-8.25,14.1,7,85.7,2022,A,S1_MeanRev,daily,HYDR,0bps
-0.3245,-2.69,8.29,-8.82,30.71,11,63.6,2023,A,S1_MeanRev,daily,HYDR,0bps
-0.4658,-3.98,8.55,-9.23,11.33,8,62.5,2024,A,S1_MeanRev,daily,HYDR,0bps
-0.1597,-1.22,7.65,-8.91,10.69,10,60.0,2025,A,S1_MeanRev,daily,HYDR,0bps
