sharpe,ann_ret_pct,ann_vol_pct,max_dd_pct,exposure_pct,n_trades,win_rate_pct,year,approach,strategy,timeframe,ticker
1.3102,13.79,10.52,-6.06,24.71,28,35.7,2021,A,S3_Donchian,hourly,LSRG
0.6128,37.3,60.86,-38.34,17.75,20,45.0,2022,A,S3_Donchian,hourly,LSRG
-0.8989,-11.95,13.29,-19.15,19.64,27,22.2,2023,A,S3_Donchian,hourly,LSRG
-0.4745,-7.18,15.12,-13.47,8.74,25,28.0,2024,A,S3_Donchian,hourly,LSRG
0.5587,4.98,8.92,-8.42,12.66,30,40.0,2025,A,S3_Donchian,hourly,LSRG
1.8051,48.26,26.73,-5.78,6.99,25,60.0,2022,B,S3_Donchian,hourly,LSRG
-0.4545,-5.84,12.85,-13.36,12.51,30,40.0,2023,B,S3_Donchian,hourly,LSRG
0.1023,1.13,11.02,-14.05,5.65,29,41.4,2024,B,S3_Donchian,hourly,LSRG
0.6856,6.16,8.98,-4.93,14.06,30,40.0,2025,B,S3_Donchian,hourly,LSRG
0.6947,41.98,60.43,-34.11,8.68,11,45.5,2022,C,S3_Donchian,hourly,LSRG
1.3286,13.18,9.92,-4.97,6.87,10,60.0,2023,C,S3_Donchian,hourly,LSRG
-0.2362,-3.38,14.32,-10.26,5.26,16,25.0,2024,C,S3_Donchian,hourly,LSRG
-0.0082,-0.06,6.82,-7.98,4.27,15,40.0,2025,C,S3_Donchian,hourly,LSRG
0.8458,34.29,40.54,-23.31,17.75,20,45.0,2022,D,S3_Donchian,hourly,LSRG
-0.9085,-11.32,12.46,-18.03,19.64,27,22.2,2023,D,S3_Donchian,hourly,LSRG
-0.4378,-6.34,14.49,-12.75,8.74,25,32.0,2024,D,S3_Donchian,hourly,LSRG
0.5237,4.47,8.53,-8.2,12.66,30,43.3,2025,D,S3_Donchian,hourly,LSRG
-0.7893,-6.57,8.33,-8.58,1.16,11,27.3,2020,A,S4_Supertrend,hourly,LSRG
0.1827,0.62,3.4,-4.52,2.61,11,63.6,2021,A,S4_Supertrend,hourly,LSRG
1.2957,12.2,9.42,-3.0,3.96,15,40.0,2022,A,S4_Supertrend,hourly,LSRG
-1.1278,-7.53,6.68,-8.13,3.63,18,38.9,2023,A,S4_Supertrend,hourly,LSRG
