strategy,tf,approach,ticker,year,gross_sharpe,gross_ann_ret_pct,gross_max_dd_pct,trades_per_year,exposure_pct,net_min_sharpe,net_min_ann_ret_pct,net_min_max_dd_pct,net_max_sharpe,net_max_ann_ret_pct,net_max_max_dd_pct
S2_Bollinger,hourly,C,LSRG,2023,1.2716196336908263,7.278241,-2.802511,28.0,6.036745406824147,-1.9005715964313592,-11.901758999999998,-13.016643000000006,-2.637711281817221,-17.381758999999995,-18.200882999999994
S2_Bollinger,hourly,C,LSRG,2024,0.4403621329628374,2.1561350000000004,-2.7923959999999997,24.0,3.911342894393742,-2.631556731772295,-13.873864999999999,-15.740329000000008,-3.3205057225560175,-18.453865,-20.12032900000001
S2_Bollinger,hourly,C,LSRG,2025,0.04339239428410712,0.2158809999999998,-2.636065,28.0,4.051631409107207,-3.2641804362194566,-18.404118999999998,-19.164557000000006,-3.949977441162547,-23.724118999999998,-24.384556999999997
S2_Bollinger,hourly,C,MOEX,2022,0.37559075606243,1.6407820000000004,-3.880952,26.0,4.997597308986065,-3.2063686670126095,-16.559217999999998,-17.024166000000005,-3.9003804129894752,-21.759217999999997,-22.12416600000001
S2_Bollinger,hourly,C,MOEX,2023,1.3026434103071174,4.337822,-2.274894,16.0,3.0183727034120733,-1.7941215405575404,-6.862177999999999,-7.234763000000003,-2.4360603059854538,-10.062178,-10.258650999999999
S2_Bollinger,hourly,C,MTLR,2022,1.1873746920825907,14.459193999999997,-4.576848,40.0,9.45489628557646,-0.47282904795589725,-5.8408074,-12.975605050000002,-0.9326936633870719,-11.640807799999997,-16.975605349999995
S2_Bollinger,hourly,C,MTLR,2023,-1.51401060063193,-10.861417000000001,-12.759189999999998,27.0,5.030621172353456,-3.898861114399408,-29.761417000000005,-30.583730000000003,-4.4445669828919305,-35.16141700000001,-35.804018000000006
S2_Bollinger,hourly,C,MTSS,2022,0.25664666228468974,0.826205,-3.2324279999999996,20.0,3.3637674195098515,-3.3810927135475244,-13.173794999999998,-13.173795000000005,-4.014321499173204,-17.173795,-17.173795
S2_Bollinger,hourly,C,MTSS,2023,1.6534665084149531,7.881213000000001,-3.369441,26.0,5.599300087489064,-1.9422604971412958,-10.318787,-12.524711000000007,-2.741505446379885,-15.518787,-17.02471100000001
S2_Bollinger,hourly,C,MTSS,2024,-0.4558550415100805,-1.8559580000000007,-4.667879999999999,24.0,4.3893959148196435,-3.9917105303442106,-18.655958000000002,-18.655958000000005,-4.648254855891749,-23.455957999999995,-23.455958000000003
S2_Bollinger,hourly,C,MTSS,2025,1.1942271642184246,5.599594000000001,-3.897315999999999,27.0,3.8366772263287574,-2.5370249194294168,-13.300406,-13.415415000000003,-3.3374204510390855,-18.700405999999997,-18.715415000000004
S2_Bollinger,hourly,C,NVTK,2022,-1.1924977026221566,-6.952105,-8.545350000000001,20.0,5.622296972609322,-3.3732459276654905,-20.952105,-20.952105000000003,-3.8740080298908435,-24.952105,-24.952104999999992
S2_Bollinger,hourly,C,NVTK,2023,0.7858309895263154,2.6904140000000005,-2.9471129999999985,37.0,8.180227471566054,-3.7891950174645275,-14.249586000000003,-14.869336999999994,-4.728780685534247,-19.089585999999997,-19.478535999999988
