sharpe,ann_ret_pct,ann_vol_pct,max_dd_pct,exposure_pct,n_trades,win_rate_pct,year,approach,strategy,timeframe,ticker
0.8055,9.26,11.49,-5.06,12.71,44,45.5,2025,D,S3_Donchian,hourly,MOEX
1.117,11.0,9.85,-4.99,8.09,19,52.6,2020,A,S4_Supertrend,hourly,MOEX
0.0628,0.31,4.92,-4.95,4.14,17,35.3,2021,A,S4_Supertrend,hourly,MOEX
0.1551,1.22,7.88,-4.86,3.65,16,25.0,2022,A,S4_Supertrend,hourly,MOEX
2.5752,20.14,7.82,-2.29,10.76,31,58.1,2023,A,S4_Supertrend,hourly,MOEX
0.4633,3.36,7.26,-8.06,10.73,25,52.0,2024,A,S4_Supertrend,hourly,MOEX
-2.4085,-11.19,4.64,-15.1,5.04,33,30.3,2025,A,S4_Supertrend,hourly,MOEX
0.7106,4.88,6.87,-2.96,2.45,16,31.2,2022,B,S4_Supertrend,hourly,MOEX
2.5042,12.93,5.16,-2.16,3.59,31,58.1,2023,B,S4_Supertrend,hourly,MOEX
1.4531,6.62,4.55,-4.39,4.22,25,48.0,2024,B,S4_Supertrend,hourly,MOEX
-1.8833,-7.86,4.17,-11.26,3.89,33,27.3,2025,B,S4_Supertrend,hourly,MOEX
-0.0818,-0.59,7.26,-7.1,2.93,11,18.2,2022,C,S4_Supertrend,hourly,MOEX
2.7021,18.08,6.69,-2.29,8.05,24,58.3,2023,C,S4_Supertrend,hourly,MOEX
0.5625,4.07,7.23,-8.06,10.52,24,50.0,2024,C,S4_Supertrend,hourly,MOEX
-2.2176,-7.3,3.29,-10.63,3.01,16,18.8,2025,C,S4_Supertrend,hourly,MOEX
0.4427,3.72,8.4,-4.33,3.65,16,31.2,2022,D,S4_Supertrend,hourly,MOEX
2.6234,18.98,7.23,-2.3,10.76,31,58.1,2023,D,S4_Supertrend,hourly,MOEX
0.4132,2.46,5.96,-7.01,10.73,25,52.0,2024,D,S4_Supertrend,hourly,MOEX
-2.0758,-8.57,4.13,-12.03,5.04,33,30.3,2025,D,S4_Supertrend,hourly,MOEX
0.2519,2.32,9.2,-5.55,15.2,8,75.0,2020,A,S1_MeanRev,daily,HYDR
1.0864,7.82,7.2,-4.21,12.55,7,85.7,2021,A,S1_MeanRev,daily,HYDR
1.3219,14.04,10.62,-8.25,14.1,7,85.7,2022,A,S1_MeanRev,daily,HYDR
-0.3245,-2.69,8.29,-8.82,30.71,11,63.6,2023,A,S1_MeanRev,daily,HYDR
-0.4658,-3.98,8.55,-9.23,11.33,8,62.5,2024,A,S1_MeanRev,daily,HYDR
-0.1597,-1.22,7.65,-8.91,10.69,10,60.0,2025,A,S1_MeanRev,daily,HYDR
1.8356,17.97,9.79,-4.6,6.41,7,85.7,2022,B,S1_MeanRev,daily,HYDR
0.6512,3.26,5.01,-3.98,24.02,12,83.3,2023,B,S1_MeanRev,daily,HYDR
-0.3675,-2.03,5.53,-5.81,3.91,8,37.5,2024,B,S1_MeanRev,daily,HYDR
0.6303,3.08,4.89,-5.61,4.4,10,60.0,2025,B,S1_MeanRev,daily,HYDR
1.4756,12.62,8.55,-3.69,5.13,9,77.8,2022,C,S1_MeanRev,daily,HYDR
0.6756,2.66,3.94,-3.05,9.45,13,53.8,2023,C,S1_MeanRev,daily,HYDR
0.9989,5.29,5.3,-3.35,6.25,4,100.0,2024,C,S1_MeanRev,daily,HYDR
0.3917,1.79,4.58,-4.78,5.97,8,62.5,2025,C,S1_MeanRev,daily,HYDR
1.5514,19.17,12.36,-7.94,14.1,7,85.7,2022,D,S1_MeanRev,daily,HYDR
-0.2902,-2.26,7.79,-7.73,30.71,11,63.6,2023,D,S1_MeanRev,daily,HYDR
-0.3608,-2.79,7.73,-7.81,11.33,8,62.5,2024,D,S1_MeanRev,daily,HYDR
-0.099,-0.78,7.85,-9.1,10.69,10,60.0,2025,D,S1_MeanRev,daily,HYDR
-1.0548,-11.22,10.64,-14.55,23.2,8,25.0,2020,A,S2_Bollinger,daily,HYDR
0.1303,0.69,5.3,-5.51,21.96,7,57.1,2021,A,S2_Bollinger,daily,HYDR
1.4509,18.1,12.47,-4.73,14.96,6,66.7,2022,A,S2_Bollinger,daily,HYDR
-0.2843,-2.14,7.54,-6.99,22.44,10,40.0,2023,A,S2_Bollinger,daily,HYDR
-0.9391,-5.78,6.16,-6.9,14.45,8,37.5,2024,A,S2_Bollinger,daily,HYDR
0.0,0.0,0.0,0.0,0.0,0,0.0,2025,A,S2_Bollinger,daily,HYDR
1.9209,18.86,9.82,-4.6,6.84,7,85.7,2022,B,S2_Bollinger,daily,HYDR
0.425,2.8,6.58,-3.69,22.44,10,80.0,2023,B,S2_Bollinger,daily,HYDR
-0.2254,-1.22,5.42,-4.58,5.08,10,40.0,2024,B,S2_Bollinger,daily,HYDR
0.0,0.0,0.0,0.0,0.0,0,0.0,2025,B,S2_Bollinger,daily,HYDR
2.0985,16.6,7.91,-1.01,6.84,9,77.8,2022,C,S2_Bollinger,daily,HYDR
1.6267,3.75,2.31,-0.64,3.15,7,85.7,2023,C,S2_Bollinger,daily,HYDR
-0.0881,-0.29,3.33,-2.98,7.03,7,42.9,2024,C,S2_Bollinger,daily,HYDR
1.5626,22.76,14.57,-4.52,14.96,6,66.7,2022,D,S2_Bollinger,daily,HYDR
-0.1299,-2.39,18.37,-15.69,22.44,10,40.0,2023,D,S2_Bollinger,daily,HYDR
-0.913,-5.2,5.69,-6.32,14.45,8,37.5,2024,D,S2_Bollinger,daily,HYDR
0.0,0.0,0.0,0.0,0.0,0,0.0,2025,D,S2_Bollinger,daily,HYDR
0.6447,16.09,24.96,-20.58,28.8,6,33.3,2020,A,S3_Donchian,daily,HYDR
0.1743,1.32,7.59,-5.86,15.29,3,33.3,2021,A,S3_Donchian,daily,HYDR
-0.5514,-10.16,18.43,-14.98,8.12,3,33.3,2022,A,S3_Donchian,daily,HYDR
-0.0651,-0.69,10.6,-9.19,20.47,5,60.0,2023,A,S3_Donchian,daily,HYDR
-0.0259,-0.44,16.81,-14.64,20.31,8,50.0,2024,A,S3_Donchian,daily,HYDR
0.7117,13.5,18.97,-19.24,44.03,9,77.8,2025,A,S3_Donchian,daily,HYDR
0.598,14.77,24.69,-11.92,3.85,3,100.0,2022,B,S3_Donchian,daily,HYDR
1.5732,10.36,6.59,-1.38,4.33,5,100.0,2023,B,S3_Donchian,daily,HYDR
0.8453,6.73,7.96,-3.41,4.3,7,71.4,2024,B,S3_Donchian,daily,HYDR
-0.3474,-2.7,7.76,-15.11,14.47,12,58.3,2025,B,S3_Donchian,daily,HYDR
-1.6094,-24.02,14.93,-22.31,2.56,4,25.0,2022,C,S3_Donchian,daily,HYDR
-0.4235,-3.5,8.26,-8.94,13.39,10,40.0,2023,C,S3_Donchian,daily,HYDR
0.8228,12.65,15.37,-8.23,15.62,8,62.5,2024,C,S3_Donchian,daily,HYDR
-0.6172,-5.52,8.94,-9.81,10.38,21,42.9,2025,C,S3_Donchian,daily,HYDR
-0.0991,-2.8,28.24,-19.4,8.12,3,66.7,2022,D,S3_Donchian,daily,HYDR
-0.0651,-1.38,21.19,-18.38,20.47,5,60.0,2023,D,S3_Donchian,daily,HYDR
0.3707,16.76,45.21,-31.0,20.31,8,50.0,2024,D,S3_Donchian,daily,HYDR
0.9259,42.53,45.93,-39.21,44.03,9,88.9,2025,D,S3_Donchian,daily,HYDR
0.9327,17.93,19.22,-14.71,31.6,4,75.0,2020,A,S4_Supertrend,daily,HYDR
0.9482,5.59,5.9,-2.66,11.37,2,50.0,2021,A,S4_Supertrend,daily,HYDR
-0.7641,-12.06,15.79,-21.55,32.05,6,33.3,2022,A,S4_Supertrend,daily,HYDR
0.3618,3.03,8.38,-6.17,35.04,4,75.0,2023,A,S4_Supertrend,daily,HYDR
0.5558,3.54,6.38,-2.97,20.7,4,75.0,2024,A,S4_Supertrend,daily,HYDR
1.0401,12.25,11.77,-7.2,23.27,5,60.0,2025,A,S4_Supertrend,daily,HYDR
0.1594,3.9,24.45,-18.2,15.38,7,71.4,2022,B,S4_Supertrend,daily,HYDR
0.4034,2.78,6.88,-6.24,5.91,3,66.7,2023,B,S4_Supertrend,daily,HYDR
1.0831,7.35,6.78,-2.01,9.77,4,100.0,2024,B,S4_Supertrend,daily,HYDR
0.6307,5.18,8.22,-7.47,18.55,5,60.0,2025,B,S4_Supertrend,daily,HYDR
1.8848,11.8,6.26,-2.16,8.12,12,75.0,2022,C,S4_Supertrend,daily,HYDR
1.1307,4.43,3.91,-1.7,11.02,11,45.5,2023,C,S4_Supertrend,daily,HYDR
-0.2198,-0.28,1.26,-1.05,2.34,3,0.0,2024,C,S4_Supertrend,daily,HYDR
2.4207,17.45,7.21,-2.08,9.75,13,76.9,2025,C,S4_Supertrend,daily,HYDR
-0.1264,-1.27,10.02,-10.15,32.05,6,50.0,2022,D,S4_Supertrend,daily,HYDR
0.5179,4.71,9.09,-5.08,35.04,4,75.0,2023,D,S4_Supertrend,daily,HYDR
0.6531,3.63,5.55,-2.74,20.7,4,75.0,2024,D,S4_Supertrend,daily,HYDR
1.123,13.81,12.3,-7.55,23.27,5,60.0,2025,D,S4_Supertrend,daily,HYDR
0.1116,2.19,19.65,-13.05,17.96,71,63.4,2020,A,S1_MeanRev,hourly,HYDR
1.6662,6.56,3.94,-2.09,7.84,25,72.0,2021,A,S1_MeanRev,hourly,HYDR
1.0206,7.9,7.74,-4.78,16.29,57,61.4,2022,A,S1_MeanRev,hourly,HYDR
0.1092,0.39,3.56,-3.23,4.42,15,60.0,2023,A,S1_MeanRev,hourly,HYDR
