sharpe,ann_ret_pct,ann_vol_pct,max_dd_pct,exposure_pct,n_trades,trades_per_yr,win_rate_pct,year,approach,strategy,timeframe,ticker
0.619,6.87,11.1,-4.7,3.85,2,2.2,100.0,2022,B,S4_Supertrend,daily,MOEX
-0.8383,-1.69,2.01,-2.32,1.18,1,1.0,0.0,2023,B,S4_Supertrend,daily,MOEX
0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,2024,B,S4_Supertrend,daily,MOEX
0.4644,2.2,4.74,-3.31,5.03,5,4.0,100.0,2025,B,S4_Supertrend,daily,MOEX
1.1039,36.71,33.25,-15.49,16.67,12,12.9,41.7,2022,C,S4_Supertrend,daily,MOEX
-2.3899,-11.96,5.01,-12.06,2.76,4,4.0,0.0,2023,C,S4_Supertrend,daily,MOEX
0.4521,5.78,12.79,-9.37,14.45,14,13.8,42.9,2024,C,S4_Supertrend,daily,MOEX
-0.2067,-2.35,11.37,-16.41,15.72,16,12.7,31.2,2025,C,S4_Supertrend,daily,MOEX
2.0837,56.64,27.18,-12.36,59.83,6,6.5,83.3,2022,D,S4_Supertrend,daily,MOEX
-1.0568,-7.69,7.28,-11.92,16.54,2,2.0,50.0,2023,D,S4_Supertrend,daily,MOEX
-0.6777,-13.28,19.6,-23.39,41.02,4,3.9,0.0,2024,D,S4_Supertrend,daily,MOEX
1.0004,11.54,11.54,-14.52,16.04,3,2.4,66.7,2025,D,S4_Supertrend,daily,MOEX
0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,2020,A,S5_PivotPoints,daily,MOEX
0.9551,1.96,2.05,-0.4,0.78,2,2.0,100.0,2021,A,S5_PivotPoints,daily,MOEX
0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,2022,A,S5_PivotPoints,daily,MOEX
0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,2023,A,S5_PivotPoints,daily,MOEX
-0.4863,-0.73,1.5,-1.16,3.12,6,5.9,33.3,2024,A,S5_PivotPoints,daily,MOEX
0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,2025,A,S5_PivotPoints,daily,MOEX
0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,2022,B,S5_PivotPoints,daily,MOEX
0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,2023,B,S5_PivotPoints,daily,MOEX
0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,2024,B,S5_PivotPoints,daily,MOEX
0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,2025,B,S5_PivotPoints,daily,MOEX
0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,2022,D,S5_PivotPoints,daily,MOEX
0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,2023,D,S5_PivotPoints,daily,MOEX
0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,2024,D,S5_PivotPoints,daily,MOEX
0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,2025,D,S5_PivotPoints,daily,MOEX
0.7936,1.67,2.11,-0.4,0.4,1,1.0,100.0,2020,A,S6_VWAP,daily,MOEX
1.1663,3.64,3.12,-0.4,0.78,1,1.0,100.0,2021,A,S6_VWAP,daily,MOEX
0.898,3.91,4.36,-0.4,0.85,1,1.1,100.0,2022,A,S6_VWAP,daily,MOEX
0.6982,1.06,1.52,-0.4,0.39,1,1.0,100.0,2023,A,S6_VWAP,daily,MOEX
0.1337,0.14,1.08,-0.4,1.95,2,2.0,100.0,2024,A,S6_VWAP,daily,MOEX
-1.4065,-1.37,0.98,-1.73,0.63,1,0.8,0.0,2025,A,S6_VWAP,daily,MOEX
1.3524,10.0,7.39,-0.49,1.71,1,1.1,100.0,2022,B,S6_VWAP,daily,MOEX
0.6982,1.06,1.52,-0.4,0.39,1,1.0,100.0,2023,B,S6_VWAP,daily,MOEX
0.9859,3.49,3.54,-0.4,2.34,2,2.0,100.0,2024,B,S6_VWAP,daily,MOEX
0.4034,1.35,3.34,-2.41,1.57,1,0.8,100.0,2025,B,S6_VWAP,daily,MOEX
0.898,3.91,4.36,-0.4,0.85,1,1.1,100.0,2022,D,S6_VWAP,daily,MOEX
0.6982,1.06,1.52,-0.4,0.39,1,1.0,100.0,2023,D,S6_VWAP,daily,MOEX
